# ops request [READ]
# type=db  id=limm-watch-7
# code 97ffd7a67b4b915c9778f19474285f5a0f782d91 · started 2026-09-18T05:00:54Z
g  t                              tk                            c3   c4      c5  c6        c7     
-  -----------------------------  ----------------------------  ---  ------  --  --------  -------
1  2026-09-18 00:08:31.254676+00  KXAAAGASDAZ-26SEP18-4.6800    yes  1       1   canceled  -      
1  2026-09-17 20:04:28.435148+00  KXYTVIEWSHIGH-POS26OCT-8.75M  yes  4       1   canceled  timeout
1  2026-09-17 20:04:27.804563+00  KXBIGGESTQUAKE-17SEP26-7.0    yes  1       1   filled    -      
1  2026-09-17 20:04:27.108789+00  KXBIGGESTQUAKE-17SEP26-6.8    yes  1       1   filled    -      
1  2026-09-17 16:00:47.920037+00  KXHORMUZPEAK-26SEP20-T20      yes  3       1   canceled  timeout
1  2026-09-17 16:00:47.221295+00  KXHORMUZPEAK-26SEP20-T30      yes  1       1   canceled  timeout
1  2026-09-17 16:00:46.645547+00  KXHORMUZPEAK-26SEP20-T25      yes  1       1   canceled  timeout
2  2026-09-18 04:59:29.774497+00  KXBIGGESTQUAKE-17SEP26-7.0    pos  1.0000  1   0.0000    -      
2  2026-09-18 04:59:29.773112+00  KXBIGGESTQUAKE-17SEP26-6.8    pos  1.0000  1   0.0000    -      
2  2026-09-18 04:57:01.29687+00   KXBIGGESTQUAKE-17SEP26-7.0    pos  1.0000  1   0.0000    -      
2  2026-09-18 04:57:01.29577+00   KXBIGGESTQUAKE-17SEP26-6.8    pos  1.0000  1   0.0000    -      
2  2026-09-18 04:54:27.171497+00  KXBIGGESTQUAKE-17SEP26-7.0    pos  1.0000  1   0.0000    -      
2  2026-09-18 04:54:27.169855+00  KXBIGGESTQUAKE-17SEP26-6.8    pos  1.0000  1   0.0000    -      

(13 rows)
