# ops request [READ]
# type=db  id=limm-watch-9
# code 97ffd7a67b4b915c9778f19474285f5a0f782d91 · started 2026-09-18T05:02:18Z
g  t                              c2         c3                                          c4        c5    c6                             c7     
-  -----------------------------  ---------  ------------------------------------------  --------  ----  -----------------------------  -------
1  2026-09-18 04:42:55.688979+00  Fmmsell10  KXTRUMPSAYNICKNAME-26OCT01-NUMB             no        93    resting                        -      
1  2026-09-18 04:12:07.925825+00  Fmmsell10  KXITFMATCH-26SEP17TANFER-TAN                no        93    filled                         -      
1  2026-09-18 03:39:46.694407+00  Fmmsell10  KXWNBASPREAD-26SEP17PHXPDX-PDX12            no        93    canceled                       -      
1  2026-09-18 01:45:58.632102+00  Fmmsell10  KXMLBHR-26SEP172138MINLAA-MINVCARATINI37-1  no        93    filled                         -      
1  2026-09-18 01:45:37.748541+00  Fmmsell10  KXMLBTOTAL-26SEP172005BOSTEX-12             no        91    filled                         -      
1  2026-09-18 01:12:31.987797+00  Fmmsell10  KXWNBAGAME-26SEP17WSHCHI-CHI                no        91    canceled                       -      
1  2026-09-18 00:08:31.254676+00  Alimm1     KXAAAGASDAZ-26SEP18-4.6800                  yes       1     canceled                       -      
1  2026-09-18 00:04:25.883661+00  Fmmsell10  KXATPCHALLENGERMATCH-26SEP17ZHESVA-SVA      no        93    filled                         -      
1  2026-09-17 23:34:37.34287+00   Fmmsell10  KXWNBAGAME-26SEP17CONNATL-CONN              no        93    filled                         -      
1  2026-09-17 23:04:40.208666+00  Fmmsell10  KXMLBHR-26SEP171940DETCWS-CWSCMEIDROTH10-1  no        93    filled                         -      
1  2026-09-17 22:33:00.674735+00  Fmmsell10  KXMLBHR-26SEP171915KCHOU-KCKISBEL28-1       no        93    filled                         -      
1  2026-09-17 22:32:22.736722+00  Fmmsell10  KXWTASETWINNER-26SEP17LYSPOD-2-LYS          no        94    filled                         -      
1  2026-09-17 21:17:26.289153+00  Fmmsell10  KXMLBHR-26SEP171915PHINYM-PHILARRAEZ1-1     no        93    canceled                       timeout
1  2026-09-17 21:17:06.423008+00  Fmmsell10  KXITFMATCH-26SEP17CUNSAK-CUN                no        93    filled                         -      
1  2026-09-17 20:45:03.589384+00  Fmmsell10  KXAAAGASD-26SEP18-4.4950                    no        94    filled                         -      
1  2026-09-17 20:44:41.559442+00  Fmmsell10  KXITFMATCH-26SEP17SOUSCH-SOU                no        93    filled                         -      
1  2026-09-17 20:04:28.435148+00  Alimm1     KXYTVIEWSHIGH-POS26OCT-8.75M                yes       4     canceled                       timeout
1  2026-09-17 20:04:27.804563+00  Alimm1     KXBIGGESTQUAKE-17SEP26-7.0                  yes       1     filled                         -      
1  2026-09-17 20:04:27.108789+00  Alimm1     KXBIGGESTQUAKE-17SEP26-6.8                  yes       1     filled                         -      
1  2026-09-17 19:43:24.588596+00  Fmmsell10  KXMLBHR-26SEP171510SDCOL-COLJMCCARTHY31-1   no        93    filled                         -      
1  2026-09-17 19:43:07.637588+00  Fmmsell10  KXBTCMAXMON-BTC-26SEP30-8750000             no        93    filled                         -      
1  2026-09-17 18:40:07.942772+00  Fmmsell10  KXINXU-26SEP17H1600-T7649.9999              no        94    filled                         -      
1  2026-09-17 18:10:02.689142+00  Fmmsell10  KXITFMATCH-26SEP17FAUBAT-BAT                no        94    filled                         -      
1  2026-09-17 18:09:24.710926+00  Fmmsell10  KXLALIGATOTAL-26SEP17RBBGET-5               no        91    canceled                       -      
1  2026-09-17 17:05:06.951673+00  Fmmsell10  KXNASDAQ100U-26SEP17H1600-T29569.99         no        94    canceled                       -      
2  2026-09-18 03:59:00.641248+00  lastqtick  KXAAAGASDAZ-26SEP18-4.6800                  canceled  2280  2026-09-18 00:08:32.033061+00  -      
2  2026-09-18 00:06:22.858434+00  lastqtick  KXYTVIEWSHIGH-POS26OCT-8.75M                canceled  1300  2026-09-17 20:04:31.522763+00  -      
2  2026-09-17 23:33:31.624653+00  lastqtick  KXBIGGESTQUAKE-17SEP26-6.8                  filled    949   2026-09-17 20:04:31.522763+00  -      
2  2026-09-17 23:33:24.767988+00  lastqtick  KXBIGGESTQUAKE-17SEP26-7.0                  filled    948   2026-09-17 20:04:31.522763+00  -      
2  2026-09-17 20:02:35.930018+00  lastqtick  KXHORMUZPEAK-26SEP20-T20                    canceled  1620  2026-09-17 16:00:48.76436+00   -      
2  2026-09-17 20:02:35.867278+00  lastqtick  KXHORMUZPEAK-26SEP20-T30                    canceled  1619  2026-09-17 16:00:48.76436+00   -      
2  2026-09-17 20:02:35.803741+00  lastqtick  KXHORMUZPEAK-26SEP20-T25                    canceled  1618  2026-09-17 16:00:48.76436+00   -      

(32 rows)
