# ops request [READ]
# type=db  id=live-now-1
# code ca3ab4ae838012ca6bc65376da3f04474b4514bd · started 2026-09-11T17:55:45Z
strategy       n   last_at                         
-------------  --  --------------------------------
Cmmsell10      7   2026-09-11 17:45:50.777104+00:00
Dmmsell10      7   2026-09-11 17:45:50.789759+00:00
Fmmsell10      3   2026-09-11 17:45:36.758151+00:00
Fmmsell10_pt4  3   2026-09-11 17:45:36.769117+00:00
Gmmsell0       7   2026-09-11 17:45:50.799257+00:00
Gmmsell1       3   2026-09-11 17:45:36.748340+00:00
mmsell         2   2026-09-11 17:45:10.481693+00:00
mmsell10       7   2026-09-11 17:45:50.752536+00:00
mmsell5        2   2026-09-11 17:45:44.530236+00:00
mmsell6        12  2026-09-11 17:45:50.737720+00:00
Tmmsell6       4   2026-09-11 17:45:50.766214+00:00

(11 rows)
