# ops request: type='db'
twin_tag       live_tag   is_open  ticks_loaded
-------------  ---------  -------  ------------
Cmmsell10_pt3  Cmmsell10  True     7690        
Lmmsell8_pt3   Lmmsell8   False    22210       
Lmmsell10_pt3  Lmmsell10  False    124134      
mmsell8_pt3    mmsell8    False    969         
mmsell10_pt3   mmsell10   False    6697        
theta4_pt3     theta4     False    676         
mmsell10b_pt3  mmsell10b  False    52275       
mmsell10a_pt3  mmsell10a  False    48375       
theta4_pt2     theta4     False    113         
mmsell10b_pt2  mmsell10b  False    77147       
mmsell10a_pt2  mmsell10a  False    72668       
mmsell10b_pt   mmsell10b  False    59263       
mmsell10a_pt   mmsell10a  False    50679       
theta4_pt      theta4     False    388         
mmsell10_pt    mmsell10   False    147568      

(15 rows)
