# ops request: type='db'
twin_tag       position_rows_scanned  incumbent_trades
-------------  ---------------------  ----------------
Cmmsell10_pt3  2051                   151             
Lmmsell8_pt3   18030                  75              
Lmmsell10_pt3  125380                 2148            
mmsell8_pt3    2829                   224             
mmsell10_pt3   7472                   4009            
theta4_pt3     646                    721             
mmsell10b_pt3  25462                  974             
mmsell10a_pt3  18884                  1004            
theta4_pt2     833                    721             
mmsell10b_pt2  53881                  974             
mmsell10a_pt2  67387                  1004            
mmsell10b_pt   77738                  974             
mmsell10a_pt   68321                  1004            
theta4_pt      1205                   721             
mmsell10_pt    97428                  4009            

(15 rows)
