# ops request [READ]
# type=script  id=livedash-probe-final
# code 7becc96c3688fb963ba650c731c46c6294e6351f · started 2026-09-05T12:15:08Z
livedash probe — https://kalshibot-production-cb6b.up.railway.app
  slow threshold 2000ms, per-request timeout 120s

  probing pair: Dmmsell10_pt4

status      elapsed        bytes  route
   200       162ms          2B  /healthz
   200       183ms     60,430B  /
   200       200ms     11,032B  /api/runs?view=selector
   200      1387ms    536,427B  /api/runs/Dmmsell10_pt4
   200      1971ms    418,379B  /api/runs/Dmmsell10_pt4/series
   200       239ms     71,106B  /api/runs/Dmmsell10_pt4/orders?offset=0&limit=100
   200       213ms     23,960B  /api/runs/Dmmsell10_pt4/events?category=all&limit=50
   200      1607ms     21,404B  /api/runs

  All routes returned a usable payload under the slow threshold.
