# latest deployment e87b9c94-67ff-4ece-a956-45c03ea0a9e1 (status=SUCCESS, created=2026-09-14T16:20:08.513Z)
# ops request [READ]
# type=logs  service=livedash  id=lo-dashdeploy-2
# code c60d5730ee1a64a1aa84416a65b4222967aa6ad7 · started 2026-09-14T16:29:54Z
# target service: livedash
2026-09-14T16:21:28.559207880Z INFO  Starting Container
2026-09-14T16:21:29.239445193Z INFO  livedash listening on http://0.0.0.0:8080
2026-09-14T16:27:31.001394539Z INFO  livedash "GET /?run=Fmmsell10_pt4 HTTP/1.1" 200 -
2026-09-14T16:27:31.001400619Z INFO  livedash timing / sent 2ms 62102B
2026-09-14T16:27:33.573471285Z INFO  livedash stages build_runs summaries=False total=77ms list_pairs=76ms rows[18]=0ms
2026-09-14T16:27:33.573479645Z INFO  livedash "GET /api/runs?view=selector HTTP/1.1" 200 -
2026-09-14T16:27:33.573485565Z INFO  livedash timing /api/runs sent 79ms 12348B
2026-09-14T16:27:34.627408025Z INFO  livedash stages build_run Fmmsell10_pt4 total=972ms marks[latest]=424ms gates=285ms live_leg=114ms universe_split=88ms paper_leg=25ms market_tags=17ms status=11ms get_pair=6ms decompose=1ms discrepancies=1ms compare_legs=1ms incumbent=0ms
2026-09-14T16:27:34.648777730Z INFO  livedash "GET /api/runs/Fmmsell10_pt4 HTTP/1.1" 200 -
2026-09-14T16:27:34.655673574Z INFO  livedash timing /api/runs/Fmmsell10_pt4 sent 999ms 831008B
2026-09-14T16:27:35.519761311Z INFO  livedash "GET /api/runs/Fmmsell10_pt4/orders?offset=0&limit=100 HTTP/1.1" 200 -
2026-09-14T16:27:35.519766061Z INFO  livedash timing /api/runs/Fmmsell10_pt4/orders sent 88ms 69223B
2026-09-14T16:27:35.549127662Z INFO  livedash "GET /api/runs/Fmmsell10_pt4/events?category=all&limit=50 HTTP/1.1" 200 -
2026-09-14T16:27:35.549130972Z INFO  livedash timing /api/runs/Fmmsell10_pt4/events sent 110ms 19108B
2026-09-14T16:27:38.578102550Z INFO  livedash stages build_series Fmmsell10_pt4 total=3142ms marks[full]=2767ms pnl_series=242ms live_leg=100ms paper_leg=21ms price_series=12ms
2026-09-14T16:27:38.642758262Z INFO  livedash "GET /api/runs/Fmmsell10_pt4/series?since=2026-09-11T16%3A27%3A35.336Z HTTP/1.1" 200 -
2026-09-14T16:27:38.655113209Z WARN  livedash timing /api/runs/Fmmsell10_pt4/series sent 3221ms 593655B
2026-09-14T16:27:40.375155383Z INFO  livedash stages build_runs summaries=True total=1538ms rows[18]=1521ms unpaired=10ms list_pairs=7ms
2026-09-14T16:27:40.375157963Z INFO  livedash "GET /api/runs HTTP/1.1" 200 -
2026-09-14T16:27:40.375160653Z INFO  livedash timing /api/runs sent 1540ms 23546B
