# ops request [READ]
# type=xos  id=lo-m9-rcpt
# code ca3ab4ae838012ca6bc65376da3f04474b4514bd · started 2026-09-11T18:02:14Z
command                               action        status     issue       actor        role           completed                       
------------------------------------  ------------  ---------  ----------  -----------  -------------  --------------------------------
lo-m9-fix-1                           PROPOSE_FIX   SUCCEEDED  XOS-000033  cal          LIVE_OPS       2026-09-11 18:01:36.447163+00:00
lo-m9-classify-1                      CLASSIFY      SUCCEEDED  XOS-000033  cal          LIVE_OPS       2026-09-11 18:01:36.422683+00:00
lo-m9-ev-rootcause-1                  ADD_EVIDENCE  SUCCEEDED  XOS-000033  cal          LIVE_OPS       2026-09-11 18:01:36.392996+00:00
lo-open-variants-residue-20260911     OPEN_MANUAL   SUCCEEDED  XOS-000034  cal          LIVE_OPS       2026-09-11 15:34:11.324155+00:00
lo-open-mmsell9-dark-20260911         OPEN_MANUAL   SUCCEEDED  XOS-000033  cal          LIVE_OPS       2026-09-11 15:34:11.288878+00:00
tax-registry-prefix-inherit-20260910  OPEN_MANUAL   SUCCEEDED  XOS-000032  50cal        TASK_SPECIFIC  2026-09-10 21:44:20.490842+00:00
lo-x14-link-28                        ADD_LINK      SUCCEEDED  XOS-000014  claude-code  LIVE_OPS       2026-09-10 20:17:16.085616+00:00
lo-x14-ev-fixed                       ADD_EVIDENCE  SUCCEEDED  XOS-000014  claude-code  LIVE_OPS       2026-09-10 20:17:16.048301+00:00
lo-tc-ev-soak90                       ADD_EVIDENCE  SUCCEEDED  XOS-000028  claude-code  LIVE_OPS       2026-09-10 20:17:16.004010+00:00
tax-ytviews-family-20260910           ADD_EVIDENCE  SUCCEEDED  XOS-000030  50cal        TASK_SPECIFIC  2026-09-10 20:14:39.839225+00:00
lo-tc-link-380                        ADD_LINK      SUCCEEDED  XOS-000028  claude-code  LIVE_OPS       2026-09-10 18:02:01.013647+00:00
lo-tc-resolve-2                       RESOLVE       SUCCEEDED  XOS-000028  claude-code  LIVE_OPS       2026-09-10 18:02:00.969407+00:00
lo-tc-st-val                          STATUS        SUCCEEDED  XOS-000028  claude-code  LIVE_OPS       2026-09-10 18:02:00.941052+00:00
lo-tc-st-act                          STATUS        SUCCEEDED  XOS-000028  claude-code  LIVE_OPS       2026-09-10 18:02:00.915621+00:00
lo-tc-st-inv                          STATUS        SUCCEEDED  XOS-000028  claude-code  LIVE_OPS       2026-09-10 18:02:00.893169+00:00
lo-tc-tri-1                           TRIAGE        SUCCEEDED  XOS-000028  claude-code  LIVE_OPS       2026-09-10 18:02:00.866192+00:00
lo-tc-resolve-1                       RESOLVE       REJECTED   -           claude-code  LIVE_OPS       2026-09-10 17:57:02.924404+00:00
lo-tc-ev-alldone-1                    ADD_EVIDENCE  SUCCEEDED  XOS-000028  claude-code  LIVE_OPS       2026-09-10 17:57:02.891397+00:00
lo-open-ptrades-pnl-trap-20260910     OPEN_MANUAL   SUCCEEDED  XOS-000031  50cal        LIVE_OPS       2026-09-10 15:13:45.924390+00:00
lo-tc-link-377                        ADD_LINK      SUCCEEDED  XOS-000028  claude-code  LIVE_OPS       2026-09-10 15:11:13.881122+00:00
