# ops request [READ]
# type=db  id=lo-ncaaf-913a
# code e56a42636c9fa3e4ffc0844c11910a98385c5b48 · started 2026-09-13T11:29:26Z
contest          rungs  twin_pnl
---------------  -----  --------
26SEP12ULLUSC    1      0.10    
26SEP12CALSYR    1      0.10    
26SEP12MSSTMINN  1      0.10    
26SEP12USFARMY   1      0.10    
26SEP12DUKEILL   1      0.09    
26SEP12BGSUNEB   1      0.09    
26SEP12MTUMRSH   1      0.09    
26SEP12HOWIND    1      0.09    
26SEP06WISND     1      0.09    
26SEP12OSUTEX    1      0.09    
26SEP12WAKEPUR   1      0.09    
26SEP12CHARMISS  1      0.07    
26SEP12DELVAN    1      0.07    
26SEP12EMUMSU    1      0.07    
26SEP12BUFFFIU   1      0.07    
26SEP07SMUFSU    1      0.07    
26SEP11MIZZKU    1      0.07    
26SEP11RUTGBC    1      0.07    
26SEP11VILLLOU   1      0.07    
26SEP12ALAUK     1      0.07    
26SEP12ALBYLIU   1      0.07    
26SEP12APPECU    1      0.07    
26SEP12ARIZBYU   1      0.07    
26SEP12ARKUTAH   1      0.07    
26SEP12ASUTXAM   1      0.07    
26SEP12RMUAKR    1      0.07    
26SEP12SACFRES   1      0.07    
26SEP12SDSUUCLA  1      0.07    
26SEP12TENNGT    1      0.07    
26SEP12TOWSSCAR  1      0.07    
26SEP12UCFPITT   1      0.07    
26SEP12UNLVUNT   1      0.07    
26SEP12USATULN   1      0.07    
26SEP12UTSATXST  1      0.07    
26SEP12VALPMURR  1      0.07    
26SEP12WIUWIS    1      0.07    
26SEP12WOFKENT   1      0.07    
26SEP12WSUKSU    1      0.07    
26SEP13NMSUHAW   1      0.07    
26SEP12ILSTNIU   1      0.07    
26SEP12ISUIOWA   1      0.07    
26SEP12LTLSU     1      0.07    
26SEP12MDCONN    1      0.07    
26SEP12MEMBSU    1      0.07    
26SEP12NAVYFAU   1      0.07    
26SEP12NDSUAFA   1      0.07    
26SEP12ODUVT     1      0.07    
26SEP12OKLAMICH  1      0.07    
26SEP12RICEND    1      0.07    
26SEP12GASTKENN  1      0.06    
26SEP12CPSJSU    1      0.06    
26SEP12PSUTEM    1      0.06    
26SEP11NORFUVA   1      0.06    
26SEP12TTUORST   1      0.06    
26SEP06LOUMISS   1      0.06    
26SEP12GASOCLEM  1      0.06    
26SEP12MTSTNEV   1      0.06    
26SEP12ETSUUNC   1      0.06    
26SEP12COLGCMU   1      0.06    
26SEP12USUWASH   1      0.06    
26SEP12TLSASHSU  1      0.06    
26SEP12STONBALL  1      -0.93   
26SEP12OREOKST   1      -0.93   

(63 rows)
