# ops request [READ]
# type=xos  id=lo-rcpt-1
# code ce1215a40dc8d607316bd35d83d39e6b5f52e6b5 · started 2026-09-11T15:34:58Z
command                               action                    status     issue       actor        role           completed                       
------------------------------------  ------------------------  ---------  ----------  -----------  -------------  --------------------------------
lo-open-variants-residue-20260911     OPEN_MANUAL               SUCCEEDED  XOS-000034  cal          LIVE_OPS       2026-09-11 15:34:11.324155+00:00
lo-open-mmsell9-dark-20260911         OPEN_MANUAL               SUCCEEDED  XOS-000033  cal          LIVE_OPS       2026-09-11 15:34:11.288878+00:00
tax-registry-prefix-inherit-20260910  OPEN_MANUAL               SUCCEEDED  XOS-000032  50cal        TASK_SPECIFIC  2026-09-10 21:44:20.490842+00:00
lo-x14-link-28                        ADD_LINK                  SUCCEEDED  XOS-000014  claude-code  LIVE_OPS       2026-09-10 20:17:16.085616+00:00
lo-x14-ev-fixed                       ADD_EVIDENCE              SUCCEEDED  XOS-000014  claude-code  LIVE_OPS       2026-09-10 20:17:16.048301+00:00
lo-tc-ev-soak90                       ADD_EVIDENCE              SUCCEEDED  XOS-000028  claude-code  LIVE_OPS       2026-09-10 20:17:16.004010+00:00
tax-ytviews-family-20260910           ADD_EVIDENCE              SUCCEEDED  XOS-000030  50cal        TASK_SPECIFIC  2026-09-10 20:14:39.839225+00:00
lo-tc-link-380                        ADD_LINK                  SUCCEEDED  XOS-000028  claude-code  LIVE_OPS       2026-09-10 18:02:01.013647+00:00
lo-tc-resolve-2                       RESOLVE                   SUCCEEDED  XOS-000028  claude-code  LIVE_OPS       2026-09-10 18:02:00.969407+00:00
lo-tc-st-val                          STATUS                    SUCCEEDED  XOS-000028  claude-code  LIVE_OPS       2026-09-10 18:02:00.941052+00:00
lo-tc-st-act                          STATUS                    SUCCEEDED  XOS-000028  claude-code  LIVE_OPS       2026-09-10 18:02:00.915621+00:00
lo-tc-st-inv                          STATUS                    SUCCEEDED  XOS-000028  claude-code  LIVE_OPS       2026-09-10 18:02:00.893169+00:00
lo-tc-tri-1                           TRIAGE                    SUCCEEDED  XOS-000028  claude-code  LIVE_OPS       2026-09-10 18:02:00.866192+00:00
lo-tc-resolve-1                       RESOLVE                   REJECTED   -           claude-code  LIVE_OPS       2026-09-10 17:57:02.924404+00:00
lo-tc-ev-alldone-1                    ADD_EVIDENCE              SUCCEEDED  XOS-000028  claude-code  LIVE_OPS       2026-09-10 17:57:02.891397+00:00
lo-open-ptrades-pnl-trap-20260910     OPEN_MANUAL               SUCCEEDED  XOS-000031  50cal        LIVE_OPS       2026-09-10 15:13:45.924390+00:00
lo-tc-link-377                        ADD_LINK                  SUCCEEDED  XOS-000028  claude-code  LIVE_OPS       2026-09-10 15:11:13.881122+00:00
lo-tc-val-1                           RECORD_VALIDATION_RESULT  SUCCEEDED  XOS-000028  claude-code  LIVE_OPS       2026-09-10 15:11:13.829090+00:00
lo-tc-ev-proven-1                     ADD_EVIDENCE              SUCCEEDED  XOS-000028  claude-code  LIVE_OPS       2026-09-10 15:11:13.788752+00:00
tax-defects-20260910                  OPEN_MANUAL               SUCCEEDED  XOS-000030  50cal        TASK_SPECIFIC  2026-09-10 14:34:28.980093+00:00
