# ops request [READ]
# type=db  id=lo-shard-rej-1
# code 657e5021f0c7b6a78d2251e373e4926a2bd3d3a4 · started 2026-09-10T14:46:29Z
day         user_not_found  rejected_any  orders
----------  --------------  ------------  ------
2026-09-10  0               0             39    
2026-09-09  0               0             59    
2026-09-08  0               0             46    
2026-09-07  0               0             69    
2026-09-06  0               0             38    
2026-09-04  0               0             60    
2026-09-03  0               0             37    
2026-09-02  0               0             99    
2026-08-31  0               0             8     
2026-08-30  41              41            97    
2026-08-29  44              44            123   
2026-08-28  13              13            60    

(12 rows)
