# ops request [READ]
# type=db  id=lo-tc-alive-1
# code ca5e101ef04586abcdfcff023c6170617bf5bce5 · started 2026-09-07T15:22:00Z
id    status   cancel_reason  age_min  ticks_total  ticks_60m  last_tick                      last_rank  fills
----  -------  -------------  -------  -----------  ---------  -----------------------------  ---------  -----
5679  resting                 798      341          27         2026-09-07 15:20:37.064609+00  1          0    
5705  resting                 239      110          27         2026-09-07 15:20:37.067525+00  0          0    
5706  resting                 231      104          27         2026-09-07 15:20:37.072276+00  0          0    
5712  resting                 90       43           27         2026-09-07 15:20:37.074008+00  0          0    
5714  resting                 63       30           27         2026-09-07 15:20:37.079635+00  4609       0    
5715  resting                 25       12           12         2026-09-07 15:20:37.081373+00  26123      0    
5716  resting                 25       12           12         2026-09-07 15:20:37.083262+00  2047       0    
5717  resting                 3        2            2          2026-09-07 15:20:37.084805+00  6          0    

(8 rows)
