# ops request [READ]
# type=db  id=lo-tc-radius-1
# code b6cdd9d4b1b0e4666485755e1f7b911bc142d4ab · started 2026-09-07T13:53:15Z
family                   status    reason                                                                                                                                                                                                    n    first_seen                     last_seen                    
-----------------------  --------  --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  ---  -----------------------------  -----------------------------
KXA100WS                 canceled  timeout                                                                                                                                                                                                   2    2026-08-09 03:53:03.058065+00  2026-08-11 13:58:26.866515+00
KXAAAGASD                filled    (null)                                                                                                                                                                                                    4    2026-08-10 20:27:36.993222+00  2026-09-07 02:27:08.598675+00
KXAAAGASD                canceled  timeout                                                                                                                                                                                                   1    2026-08-11 16:04:05.878782+00  2026-08-11 16:04:05.878782+00
KXAAAGASD                canceled  (null)                                                                                                                                                                                                    1    2026-09-04 00:35:36.374218+00  2026-09-04 00:35:36.374218+00
KXAAAGASM                canceled  timeout                                                                                                                                                                                                   3    2026-07-27 10:26:44.574433+00  2026-07-28 12:14:08.621792+00
KXAAAGASM                filled    (null)                                                                                                                                                                                                    1    2026-07-29 11:37:57.704338+00  2026-07-29 11:37:57.704338+00
KXAAAGASW                filled    (null)                                                                                                                                                                                                    6    2026-08-09 22:02:59.808794+00  2026-08-29 03:35:01.187773+00
KXAAAGASW                canceled  timeout                                                                                                                                                                                                   2    2026-07-27 02:26:52.566287+00  2026-09-02 16:24:14.882681+00
KXAAAGASW                canceled  (null)                                                                                                                                                                                                    1    2026-08-03 00:50:08.404941+00  2026-08-03 00:50:08.404941+00
KXAFLGAME                filled    (null)                                                                                                                                                                                                    1    2026-08-15 08:01:25.220019+00  2026-08-15 08:01:25.220019+00
KXALBUMEQUIV             canceled  timeout                                                                                                                                                                                                   19   2026-08-09 03:52:46.708058+00  2026-08-19 05:13:16.10539+00 
KXALBUMEQUIV             filled    (null)                                                                                                                                                                                                    4    2026-08-11 03:02:54.236858+00  2026-09-02 11:46:03.72224+00 
KXALBUMEQUIV             rejected  Kalshi API error 400 on /trade-api/v2/portfolio/events/orders: {"error":{"code":"invalid_order","message":"invalid order","details":"post only cross"}}                                                   2    2026-08-09 02:15:51.069462+00  2026-08-09 02:16:43.89798+00 
KXALBUMEQUIV             canceled  (null)                                                                                                                                                                                                    1    2026-08-15 09:05:34.809926+00  2026-08-15 09:05:34.809926+00
KXALLSVENSKANGAME        filled    (null)                                                                                                                                                                                                    1    2026-08-15 14:17:05.82037+00   2026-08-15 14:17:05.82037+00 
KXALLSVENSKANSPREAD      canceled  (null)                                                                                                                                                                                                    1    2026-08-10 17:25:37.395621+00  2026-08-10 17:25:37.395621+00
KXALLSVENSKANSPREAD      rejected  Kalshi API error 400 on /trade-api/v2/portfolio/events/orders: {"error":{"code":"invalid_order","message":"invalid order","details":"post only cross"}}                                                   1    2026-08-10 16:20:44.00933+00   2026-08-10 16:20:44.00933+00 
KXALLSVENSKANTOTAL       filled    (null)                                                                                                                                                                                                    2    2026-08-09 15:57:17.655172+00  2026-08-10 18:40:28.867267+00
KXALLSVENSKANTOTAL       canceled  (null)                                                                                                                                                                                                    1    2026-08-17 17:39:51.844838+00  2026-08-17 17:39:51.844838+00
KXAPFDDHGAME             filled    (null)                                                                                                                                                                                                    1    2026-08-28 22:22:52.118533+00  2026-08-28 22:22:52.118533+00
KXAPFDDHTOTAL            filled    (null)                                                                                                                                                                                                    1    2026-08-15 20:00:41.81352+00   2026-08-15 20:00:41.81352+00 
KXAPRPOTUS               filled    (null)                                                                                                                                                                                                    2    2026-08-12 08:54:34.194745+00  2026-09-04 05:48:48.231682+00
KXAPRPOTUS               canceled  timeout                                                                                                                                                                                                   1    2026-08-12 04:35:41.403571+00  2026-08-12 04:35:41.403571+00
KXAPRPOTUSD              filled    (null)                                                                                                                                                                                                    1    2026-08-17 07:04:19.765055+00  2026-08-17 07:04:19.765055+00
KXARGNACBGAME            filled    (null)                                                                                                                                                                                                    1    2026-08-10 18:40:42.267731+00  2026-08-10 18:40:42.267731+00
KXARGPREMDIVGAME         filled    (null)                                                                                                                                                                                                    3    2026-08-11 00:51:36.533659+00  2026-08-17 01:05:32.539323+00
KXARGPREMDIVGAME         canceled  (null)                                                                                                                                                                                                    2    2026-08-09 00:07:31.584399+00  2026-08-17 21:35:16.282415+00
KXARGPREMDIVTOTAL        filled    (null)                                                                                                                                                                                                    4    2026-08-10 00:43:06.701849+00  2026-09-07 02:08:10.739083+00
KXARGPREMDIVTOTAL        canceled  (null)                                                                                                                                                                                                    2    2026-08-10 22:10:13.398319+00  2026-08-15 19:08:59.363349+00
KXARGPREMDIVTOTAL        rejected  Kalshi API error 400 on /trade-api/v2/portfolio/events/orders: {"error":{"code":"invalid_order","message":"invalid order","details":"post only cross"}}                                                   1    2026-08-09 21:47:06.076014+00  2026-08-09 21:47:06.076014+00
KXARMOMINF               rejected  Kalshi API error 400 on /trade-api/v2/portfolio/events/orders: {"error":{"code":"invalid_order","message":"invalid order","details":"post only cross"}}                                                   1    2026-08-10 02:19:35.026546+00  2026-08-10 02:19:35.026546+00
KXARMOMINF               canceled  timeout                                                                                                                                                                                                   1    2026-08-12 12:48:09.958113+00  2026-08-12 12:48:09.958113+00
KXASEANGAME              filled    (null)                                                                                                                                                                                                    1    2026-08-15 13:28:20.517375+00  2026-08-15 13:28:20.517375+00
KXASEANTOTAL             filled    (null)                                                                                                                                                                                                    1    2026-08-15 13:59:07.74464+00   2026-08-15 13:59:07.74464+00 
KXATPCHALLENGERMATCH     filled    (null)                                                                                                                                                                                                    27   2026-07-14 00:35:25.109946+00  2026-09-07 13:10:19.965562+00
KXATPCHALLENGERMATCH     canceled  (null)                                                                                                                                                                                                    9    2026-07-16 19:01:56.334777+00  2026-08-18 02:54:34.902401+00
KXATPCHALLENGERMATCH     rejected  Kalshi API error 400 on /trade-api/v2/portfolio/events/orders: {"error":{"code":"invalid_order","message":"invalid order","details":"post only cross"}}                                                   4    2026-08-09 07:03:32.017659+00  2026-08-11 11:20:04.747801+00
KXATPCHALLENGERMATCH     resting   (null)                                                                                                                                                                                                    1    2026-09-07 13:51:06.269087+00  2026-09-07 13:51:06.269087+00
KXATPDOUBLES             filled    (null)                                                                                                                                                                                                    1    2026-08-17 23:16:12.393391+00  2026-08-17 23:16:12.393391+00
KXATPEXACTMATCH          filled    (null)                                                                                                                                                                                                    3    2026-08-12 23:39:31.295685+00  2026-09-06 18:19:31.634263+00
KXATPEXACTMATCH          rejected  Kalshi API error 404 on /trade-api/v2/portfolio/events/orders: {"error":{"code":"user_not_found","message":"user not found","details":"Exchange user not found. For Predictions: reference documentatio…  1    2026-08-30 17:02:06.917228+00  2026-08-30 17:02:06.917228+00
KXATPGTOTAL              filled    (null)                                                                                                                                                                                                    1    2026-08-17 21:36:13.252758+00  2026-08-17 21:36:13.252758+00
KXATPMATCH               filled    (null)                                                                                                                                                                                                    19   2026-07-13 13:51:34.562204+00  2026-09-04 00:34:43.415146+00
KXATPMATCH               canceled  (null)                                                                                                                                                                                                    2    2026-08-11 19:01:28.824272+00  2026-09-03 02:45:30.481794+00
KXATPMATCH               canceled  drain_unconfirmed                                                                                                                                                                                         1    2026-09-06 19:16:18.40731+00   2026-09-06 19:16:18.40731+00 
KXATPSETWINNER           filled    (null)                                                                                                                                                                                                    1    2026-08-09 02:16:40.346678+00  2026-08-09 02:16:40.346678+00
KXB200WS                 canceled  timeout                                                                                                                                                                                                   1    2026-08-11 05:10:33.554167+00  2026-08-11 05:10:33.554167+00
