# ops request [READ]
# type=db  id=lo-tc-shard-1
# code ca5e101ef04586abcdfcff023c6170617bf5bce5 · started 2026-09-07T15:28:55Z
family                cancelled_ok  stuck_past_timeout  resting_now  orders_today
--------------------  ------------  ------------------  -----------  ------------
KXFEDMENTION          3             0                   1            4           
KXUCLGAME             3             0                   1            5           
KXWTI                 3             0                   1            5           
KXAAAGASD             0             0                   0            1           
KXARGPREMDIVTOTAL     0             0                   0            1           
KXATPCHALLENGERMATCH  0             0                   0            4           
KXATPEXACTMATCH       0             0                   0            1           
KXATPMATCH            0             0                   0            1           
KXBTCD                0             1                   1            5           
KXDIMAYORGAME         0             0                   0            1           
KXDOTA2GAME           0             0                   0            1           
KXECULPTOTAL          0             0                   0            1           
KXITFMATCH            0             0                   0            3           
KXITFWMATCH           0             0                   0            2           
KXLALIGAGAME          0             0                   1            1           
KXLALIGATOTAL         0             0                   0            1           
KXLEAGUESCUPSCORE     0             0                   0            2           
KXLEAGUESCUPTOTAL     0             0                   0            1           
KXLOLGAME             0             0                   0            1           
KXMLBGAME             0             0                   0            2           
KXMLBHR               0             0                   2            21          
KXMLBKS               0             1                   2            4           
KXMLBSPREAD           0             0                   0            5           
KXMLBTOTAL            0             0                   0            3           
KXNWSLGAME            0             0                   0            2           
KXRAIN                0             0                   0            1           
KXRT                  0             0                   0            2           
KXSAUDIPLGAME         0             0                   0            1           
KXTRUMPSAY            0             0                   0            1           
KXWTACHALLENGERMATCH  0             0                   0            2           
KXWTAMATCH            0             0                   0            1           
KXWTIW                0             0                   0            1           

(32 rows)
