# ops request [READ]
# type=db  id=lo-tc-trend-1
# code b6cdd9d4b1b0e4666485755e1f7b911bc142d4ab · started 2026-09-07T13:59:41Z
day         timeout_ok  drain_unconf  still_resting  total_orders
----------  ----------  ------------  -------------  ------------
2026-09-07  6           1             8              43          
2026-09-06  0           19            0              38          
2026-09-04  10          0             0              60          
2026-09-03  8           0             0              37          
2026-09-02  38          0             0              99          
2026-08-31  0           1             0              8           
2026-08-30  15          0             0              97          
2026-08-29  20          0             0              123         
2026-08-28  22          0             0              60          
2026-08-19  14          0             0              83          
2026-08-18  36          0             0              111         
2026-08-17  29          0             0              129         
2026-08-16  14          0             0              117         
2026-08-15  13          0             0              139         
2026-08-14  31          0             0              156         
2026-08-13  74          0             0              228         
2026-08-12  39          0             0              328         
2026-08-11  65          0             0              313         
2026-08-10  68          0             0              255         
2026-08-09  58          1             0              428         
2026-08-08  4           0             0              50          

(21 rows)
