# ops request [READ]
# type=db  id=lo-tc-verify-2
# code b6cdd9d4b1b0e4666485755e1f7b911bc142d4ab · started 2026-09-07T13:52:41Z
id    kalshi_order_id                       strategy   market_ticker                                side  action  limit_price  quantity  status   cancel_reason  created_at                     age_min
----  ------------------------------------  ---------  -------------------------------------------  ----  ------  -----------  --------  -------  -------------  -----------------------------  -------
5679  01a0799b-8b40-7b41-b051-7363555c04aa  Fmmsell10  KXBTCD-26SEP1117-T85999.99                   no    buy     93           1         resting                 2026-09-07 02:03:52.423107+00  709    
5701  01a07b7f-dba0-7423-bfd7-5a5c8f8bf4a9  Fmmsell10  KXWTI-26SEP0814-T96.99                       no    buy     90           1         resting                 2026-09-07 10:52:52.359103+00  180    
5702  01a07b7f-fec8-7e4c-8a02-5956f36c2f50  Fmmsell10  KXUCLGAME-26SEP09BARFEY-TIE                  no    buy     93           1         resting                 2026-09-07 10:53:01.512592+00  180    
5703  01a07b80-0e68-78cb-a8ff-8ad21dcdcafc  Fmmsell10  KXFEDMENTION-26SEP-TRUM                      no    buy     93           1         resting                 2026-09-07 10:53:05.490381+00  180    
5704  01a07b80-5c88-7d62-8de3-d4d40767aceb  Fmmsell10  KXMLBKS-26SEP071335CLEBAL-CLEJCANTILLO54-10  no    buy     93           1         resting                 2026-09-07 10:53:25.006958+00  179    
5705  01a07b9b-d3c8-7cbb-826b-639b83bc3ddc  Fmmsell10  KXMLBKS-26SEP071710WSHSD-WSHJIRVIN27-8       no    buy     93           1         resting                 2026-09-07 11:23:25.128011+00  149    
5706  01a07ba2-d4c0-7af8-9c7b-ccd0836dde19  Fmmsell10  KXMLBKS-26SEP071310NYMMIA-MIAEPREZ39-10      no    buy     93           1         resting                 2026-09-07 11:31:04.12648+00   142    
5711  01a07c23-0910-702e-822c-2a39eb79cd1e  Fmmsell10  KXATPCHALLENGERMATCH-26SEP07PIRFEL-FEL       no    buy     91           1         resting                 2026-09-07 13:51:06.269087+00  2      
5712  01a07c23-ad20-751a-98cd-a3cb00a1b150  Fmmsell10  KXMLBHR-26SEP072010STLSF-STLIHERRERA48-1     no    buy     93           1         resting                 2026-09-07 13:51:48.447395+00  1      
5713  01a07c23-b8d8-71e8-b447-706d6049d2b5  Fmmsell10  KXITFMATCH-26SEP07TRIMEN-TRI                 no    buy     93           1         resting                 2026-09-07 13:51:51.713866+00  1      

(10 rows)
