# ops request [READ]
# type=db  id=lo-tc-watch-3
# code 2225d7ada52307ea069e169af7c116951564478a · started 2026-09-07T19:11:10Z
family         cancelled_ok  stuck_past_timeout  resting_now
-------------  ------------  ------------------  -----------
KXMLBKS        0             1                   1          
KXBTCD         0             1                   1          
KXUCLGAME      4             0                   1          
KXFEDMENTION   4             0                   0          
KXWTI          3             0                   1          
KXMLBHR        0             0                   3          
KXLALIGATOTAL  0             0                   1          
KXAAAGASD      0             0                   1          
KXRT           0             0                   1          

(9 rows)
