# ops request [READ]
# type=db  id=lo-tier-913c
# code e56a42636c9fa3e4ffc0844c11910a98385c5b48 · started 2026-09-13T11:28:24Z
series                   barred  matched  st       twin_pnl_usd
-----------------------  ------  -------  -------  ------------
KXNCAAFSPREAD            40      40       settled  1.92        
KXNCAAFTOTAL             14      14       settled  0.95        
KXWFIBAGAME              5       5        settled  0.35        
KXEPLTOTAL               5       5        settled  0.35        
KXUCLSPREAD              5       5        settled  0.30        
KXBUNDESLIGAGAME         5       5        settled  0.27        
KXSERIEATOTAL            4       4        settled  0.26        
KXEGYPLGAME              4       4        settled  0.25        
KXLIGUE1GAME             3       3        settled  0.24        
KXWT20MATCH              3       3        settled  0.22        
KXUAEPLGAME              3       3        settled  0.21        
KXKLEAGUEGAME            3       3        settled  0.21        
KXEREDIVISIETOTAL        2       2        settled  0.19        
KXCONMEBOLLIBGAME        2       2        settled  0.16        
KXBRASILEIROBGAME        2       2        settled  0.15        
KXCONMEBOLLIBTOTAL       2       2        settled  0.14        
KXTFF1LIGGAME            2       2        settled  0.14        
KXUAEPLTOTAL             2       2        settled  0.14        
KXBRASILEIROBTOTAL       2       2        settled  0.13        
KXLVAVIRTOTAL            2       2        settled  0.13        
KXEGYPLTOTAL             2       2        settled  0.13        
KXSAUDIPLTOTAL           2       2        settled  0.12        
KXWTAEXACTMATCH          1       1        settled  0.10        
KXSERIEBGAME             1       1        settled  0.07        
KXAPRPOTUS               1       1        settled  0.07        
KXARGNACBTOTAL           1       1        settled  0.07        
KXBOXINGVICROUND         1       1        settled  0.07        
KXBRASILEIROCTOTAL       1       1        settled  0.07        
KXCPINDEX                1       1        settled  0.07        
KXCPIYOY                 1       1        settled  0.07        
KXCZEFLTOTAL             1       1        settled  0.07        
KXCZEFNLGAME             1       1        settled  0.07        
KXDENSUPERLIGATOTAL      1       1        settled  0.07        
KXDIMAYORTOTAL           1       1        settled  0.07        
KXECONSTATCPIYOY         1       1        settled  0.07        
KXEPLSPREAD              1       1        settled  0.07        
KXEREDIVISIEGAME         1       1        settled  0.07        
KXHNLGAME                1       1        settled  0.07        
KXHORMUZWEEKLY           2       2        settled  0.07        
KXIDNSLTOTAL             1       1        settled  0.07        
KXLIGAEXPGAME            1       1        settled  0.07        
KXLIGAPORTUGALGAME       1       1        settled  0.07        
KXLIGUE1TOTAL            1       1        settled  0.07        
KXNASCARRACE             2       2        settled  0.07        
KXNCAAFTEAMTOTAL         1       1        settled  0.07        
KXNFLTD                  1       1        settled  0.07        
KXSRBSLTOTAL             1       1        settled  0.07        
KXSUPERLIGGAME           1       1        settled  0.07        
KXSUPERLIGSPREAD         1       1        settled  0.07        
KXTHAIL1TOTAL            1       1        settled  0.07        
KXTRUMPMENTIONB          1       1        settled  0.07        
KXVLEAGUE1TOTAL          1       1        settled  0.07        
KXWFIBATOTAL             1       1        settled  0.07        
KXPOWERKWH               1       1        settled  0.06        
KXBUNDESLIGATOTAL        1       1        settled  0.06        
KXPERLIGA1TOTAL          1       1        settled  0.06        
KXLVAVIRGAME             1       1        settled  0.06        
KXEFLCUPGAME             1       1        settled  0.06        
KXLALIGA2GAME            1       1        settled  0.06        
KXWTADOUBLES             1       1        settled  0.06        
KXBUNDESLIGA2GAME        1       1        settled  0.06        
KXRNCMIDTERMSPEAK        1       1        settled  0.06        
KXTHAIL1GAME             1       1        settled  0.06        
KXAPFDDHGAME             1       1        settled  0.06        
KXFOMCDISSENTCOUNT       1       1        open     0.00        
KXSECPRESSMENTION        1       1        open     0.00        
KXF1RACE                 1       1        open     0.00        
KXANTHSHARE              1       1        open     0.00        
KXSPACEXSTARSHIP         1       1        open     0.00        
KXTRUMPUFC               1       1        open     0.00        
KXNETFLIXRANKSHOW        1       1        open     0.00        
KXDIESELW                1       1        open     0.00        
KXNCAAFGAME              9       9        settled  -0.40       
KXBIGBROTHERELIMINATION  1       1        settled  -0.93       
KXETH                    1       1        settled  -0.94       

(75 rows)
