# ops request: type='db'
market_ticker                 quantity  market_exposure  captured_at                     
----------------------------  --------  ---------------  --------------------------------
KXGEMINI-GEMI35P-26AUG31      -2        1.8600           2026-08-22 21:10:14.363386+00:00
KXRT-COY-97                   -2        1.8600           2026-08-22 21:10:14.361433+00:00
KXALBUMEQUIV-NDA26AUG20-25K   -2        1.8800           2026-08-22 21:10:14.359082+00:00
KXBRENTMON-26AUG3117-T106.99  -2        1.8800           2026-08-22 21:10:14.356708+00:00
KXBRENTMON-26AUG3117-T104.99  -2        1.8800           2026-08-22 21:10:14.354716+00:00
KXBRENTMON-26AUG3117-T102.99  -2        1.8800           2026-08-22 21:10:14.352690+00:00
KXDIAZOUT-MDC-26SEP01         -2        1.8600           2026-08-22 21:10:14.349783+00:00
KXGPT-OPEN-26SEP01            -2        1.8600           2026-08-22 21:10:14.347445+00:00
KXYTVIEWSHIGH-ARI26SEP-25.0M  -2        1.8800           2026-08-22 21:10:14.345368+00:00
KXPIRROOUT-26AUG-26SEP01      -2        1.8600           2026-08-22 21:10:14.343231+00:00
KXRT-MUT-85                   -2        1.8800           2026-08-22 21:10:14.340674+00:00
KXWTIW-26AUG2114-B88.50       -2        1.8800           2026-08-22 21:10:14.338378+00:00
KXWTIW-26AUG2114-B85.50       -2        1.8800           2026-08-22 21:10:14.336302+00:00
KXWTIW-26AUG2114-B79.50       -1        0.9300           2026-08-22 21:10:14.333205+00:00
KXWTIW-26AUG2114-B78.50       -1        0.9400           2026-08-22 21:10:14.330986+00:00
KXRT-INS-70                   -2        1.8600           2026-08-22 21:10:14.328438+00:00

(16 rows)
