# latest deployment a4b709e1-649f-4888-bb56-d65529f8d4f0 (status=SUCCESS, created=2026-08-28T04:54:51.865Z)
# ops request: type='logs'
# target service: main
2026-08-28T04:55:36.041849475Z INFO  Starting Container
2026-08-28T04:55:36.990325851Z ERROR  INFO  [alembic.runtime.migration] Context impl PostgresqlImpl.
2026-08-28T04:55:36.990330581Z ERROR  INFO  [alembic.runtime.migration] Will assume transactional DDL.
2026-08-28T04:55:37.203558416Z INFO  starting kalshi bot
2026-08-28T04:55:37.414914718Z INFO  experiment OS enforcement
2026-08-28T04:55:37.590710152Z INFO  api limits probe: {"grants": [{"exchange_instance": "event_contract", "level": "advanced", "source": "manual"}], "read": {"bucket_capacity": 900, "refill_rate": 300}, "usage_tier": "advanced", "write": {"bucket_capacity": 900, "refill_rate": 300}}
2026-08-28T04:55:37.599866269Z INFO  kalshi api tier upgrade skipped
2026-08-28T04:55:37.697985749Z INFO  live recover: reconciling in-flight orders
2026-08-28T04:55:38.339185791Z INFO  abandoned foreign paper positions
2026-08-28T04:55:39.215019334Z INFO  gate evaluation cycle
2026-08-28T04:55:39.225463050Z INFO  exchange status
2026-08-28T04:56:39.122813979Z INFO  polymarket index
2026-08-28T04:56:39.122816749Z INFO  weather market
2026-08-28T04:56:39.122819589Z INFO  weather market
2026-08-28T04:56:39.122822829Z INFO  weather market
2026-08-28T04:56:39.124933870Z INFO  weather market
2026-08-28T04:56:39.124937240Z INFO  weather market
2026-08-28T04:56:39.124940380Z INFO  weather market
2026-08-28T04:56:39.128450238Z INFO  weather market
2026-08-28T04:56:39.128453768Z INFO  weather market
2026-08-28T04:56:39.128456788Z INFO  weather market
2026-08-28T04:56:39.133483342Z INFO  weather market
2026-08-28T04:56:39.133488312Z INFO  weather cycle
2026-08-28T04:56:39.133491822Z INFO  live cycle
2026-08-28T04:56:59.146879350Z INFO  weather validation
2026-08-28T04:56:59.146881710Z ERROR  mmsell ride-along book failed (weather/live unaffected): LineageBlocked: strategy tag 'Tmmsell1': is not registered to any active Experiment OS deployment arm at enforcement.py:422
2026-08-28T04:57:39.286616683Z INFO  regime history capture
2026-08-28T04:57:39.286623893Z INFO  theta: shadow cost
2026-08-28T04:57:39.286628393Z INFO  theta book funnel/v1 state=NO_ELIGIBLE first_zero=eligible fetched=1176 eligible=0 candidates=0 actions=0 fetch=OK empty_series=0/4 failed_series=0/4
2026-08-28T04:57:39.556627156Z ERROR  freeze: ENTIRE configured universe returned zero open markets (7/7 series empty, none failed) — this book cannot trade: [KXCOCOA KXCOFFEE KXCORN KXCOTTON KXSOYBEAN +2]
2026-08-28T04:57:39.556630766Z INFO  freeze book funnel/v1 state=NO_MARKETS first_zero=fetched fetched=0 eligible=0 candidates=0 actions=0 fetch=EMPTY_UNIVERSE empty_series=7/7 empty=[KXCOCOA KXCOFFEE KXCORN KXCOTTON KXSOYBEAN +2] failed_series=0/7
2026-08-28T04:57:39.556634796Z ERROR  xgame: ENTIRE configured universe returned zero open markets (1/1 series empty, none failed) — this book cannot trade: [KXWCGAME]
2026-08-28T04:57:39.649553345Z INFO  xgame collector: funnel/v1 state=NO_MARKETS first_zero=fetched fetched=0 eligible=0 candidates=0 actions=0 fetch=EMPTY_UNIVERSE empty_series=1/1 empty=[KXWCGAME] failed_series=0/1 kal_games=0 pm_games=0 matched_new=0 active=0 polled=0 skipped_window=0 kal_rows=0 pm_rows=0 signals=0 opened=0 ended=0 errors=0
2026-08-28T04:58:40.064794775Z INFO  exchange status
2026-08-28T04:59:30.534891489Z INFO  polymarket index
2026-08-28T04:59:30.534910469Z INFO  weather market
2026-08-28T04:59:30.534914048Z INFO  weather market
2026-08-28T04:59:30.534918358Z INFO  weather market
2026-08-28T04:59:30.535776781Z INFO  weather market
2026-08-28T04:59:30.535781221Z INFO  weather market
2026-08-28T04:59:30.535784321Z INFO  weather market
2026-08-28T04:59:30.537022440Z INFO  weather market
2026-08-28T04:59:30.537028800Z INFO  weather market
2026-08-28T04:59:30.537033740Z INFO  weather market
2026-08-28T04:59:30.537645844Z INFO  weather market
2026-08-28T04:59:30.537648954Z INFO  weather cycle
2026-08-28T04:59:30.537653984Z INFO  live cycle
2026-08-28T04:59:30.537657404Z INFO  weather validation
2026-08-28T04:59:33.258469122Z INFO  regime history capture
