# latest deployment 90c61554-b56a-49f1-a1f9-7c0bf740d1fd (status=SUCCESS, created=2026-08-28T14:48:40.971Z)
# ops request: type='logs'
# target service: main
2026-08-28T14:49:31.135369505Z INFO  Starting Container
2026-08-28T14:49:31.948580981Z ERROR  INFO  [alembic.runtime.migration] Context impl PostgresqlImpl.
2026-08-28T14:49:31.948585281Z ERROR  INFO  [alembic.runtime.migration] Will assume transactional DDL.
2026-08-28T14:49:32.531556915Z INFO  starting kalshi bot
2026-08-28T14:49:32.960658591Z INFO  experiment OS issue command
2026-08-28T14:49:32.960662961Z INFO  experiment OS enforcement
2026-08-28T14:49:32.960666301Z ERROR  experiment OS config drift detected at boot
2026-08-28T14:49:33.090675734Z INFO  api limits probe: {"grants": [{"exchange_instance": "event_contract", "level": "advanced", "source": "manual"}], "read": {"bucket_capacity": 900, "refill_rate": 300}, "usage_tier": "advanced", "write": {"bucket_capacity": 900, "refill_rate": 300}}
2026-08-28T14:49:33.112779898Z INFO  kalshi api tier upgrade skipped
2026-08-28T14:49:33.112789418Z INFO  live/paper twins configured
2026-08-28T14:49:33.187976922Z INFO  live recover: reconciling in-flight orders
2026-08-28T14:49:53.201492287Z INFO  abandoned foreign paper positions
2026-08-28T14:49:53.201497077Z INFO  recorded gate result
2026-08-28T14:49:53.201503297Z INFO  gate evaluation cycle
2026-08-28T14:49:53.201507287Z INFO  exchange status
2026-08-28T14:51:03.124105563Z INFO  polymarket index
2026-08-28T14:51:03.124108863Z INFO  weather market
2026-08-28T14:51:03.124112293Z INFO  weather market
2026-08-28T14:51:03.124115523Z INFO  weather market
2026-08-28T14:51:03.126022762Z INFO  weather market
2026-08-28T14:51:03.126029482Z INFO  weather market
2026-08-28T14:51:03.126034442Z INFO  weather market
2026-08-28T14:51:03.127751302Z INFO  weather market
2026-08-28T14:51:03.127756972Z INFO  weather market
2026-08-28T14:51:03.127761652Z INFO  weather market
2026-08-28T14:51:03.133076672Z INFO  weather market
2026-08-28T14:51:03.133082802Z INFO  weather cycle
2026-08-28T14:51:03.133087192Z INFO  live cycle
2026-08-28T14:51:22.725888576Z INFO  weather validation
2026-08-28T14:51:27.121903466Z WARN  mmsell: book skipped — tag has no active Experiment OS deployment arm
2026-08-28T14:51:27.121906176Z WARN  mmsell: book skipped — tag has no active Experiment OS deployment arm
2026-08-28T14:51:27.200351221Z INFO  live/paper twin epoch
2026-08-28T14:52:26.922002663Z INFO  mmsell book
2026-08-28T14:53:06.917159005Z INFO  regime history capture
2026-08-28T14:53:06.979670574Z INFO  theta: shadow cost
2026-08-28T14:53:06.989394520Z INFO  theta book funnel/v1 state=NO_ELIGIBLE first_zero=eligible fetched=1176 eligible=0 candidates=0 actions=0 fetch=OK empty_series=0/4 failed_series=0/4
2026-08-28T14:53:07.254690812Z ERROR  freeze: ENTIRE configured universe returned zero open markets (7/7 series empty, none failed) — this book cannot trade: [KXCOCOA KXCOFFEE KXCORN KXCOTTON KXSOYBEAN +2]
2026-08-28T14:53:07.254694442Z INFO  freeze book funnel/v1 state=NO_MARKETS first_zero=fetched fetched=0 eligible=0 candidates=0 actions=0 fetch=EMPTY_UNIVERSE empty_series=7/7 empty=[KXCOCOA KXCOFFEE KXCORN KXCOTTON KXSOYBEAN +2] failed_series=0/7
2026-08-28T14:53:07.260552380Z ERROR  xgame: ENTIRE configured universe returned zero open markets (1/1 series empty, none failed) — this book cannot trade: [KXWCGAME]
2026-08-28T14:53:07.316278186Z INFO  xgame collector: funnel/v1 state=NO_MARKETS first_zero=fetched fetched=0 eligible=0 candidates=0 actions=0 fetch=EMPTY_UNIVERSE empty_series=1/1 empty=[KXWCGAME] failed_series=0/1 kal_games=0 pm_games=0 matched_new=0 active=0 polled=0 skipped_window=0 kal_rows=0 pm_rows=0 signals=0 opened=0 ended=0 errors=0
