# ops request [READ]
# type=xos  id=m2-close-state-1
# code a115ad91f4cdaa7742701661f096e76aa2283e60 · started 2026-09-03T12:49:30Z
key                                  state        origin      family             version  class                 integrity
-----------------------------------  -----------  ----------  -----------------  -------  --------------------  ---------
freeze-dark-window-pin               PAPER        operator    structural         v1       ACTIVE_PAPER          B        
live-shape-probe                     RETIRED      operator    operational        -        HISTORICAL_UNTRACKED  D        
marktangle-2-conditional-dependence  PROBE        operator    serial_dependence  v1       native                -        
mmsell11-no-late-entry               RETIRED      operator    maker              -        RETIRED_OR_KILLED     C        
mmsell4-skip-list                    RETIRED      operator    maker              -        RETIRED_OR_KILLED     C        
mmsell-anchor-stops                  RETIRED      operator    maker              -        RETIRED_OR_KILLED     C        
mmsell-anchor-strangle               PAPER        operator    maker              v1       ACTIVE_PAPER          B        
mmsell-anchor-vol-entry              PAPER        operator    maker              v1       ACTIVE_PAPER          B        
mmsell-first-cohort                  RETIRED      operator    maker              -        RETIRED_OR_KILLED     C        
mmsell-maker-offset-ab               RETIRED      operator    maker              -        RETIRED_OR_KILLED     C        
mmsell-price-ceiling                 LIVE_CANARY  operator    maker              v2       ACTIVE_PAPER          B        
mmsell-price-ceiling-capacity        LIVE_CANARY  operator    maker              v3       native                -        
mmsell-scan-depth                    RETIRED      operator    maker              -        RETIRED_OR_KILLED     C        
mmsell-scheduled-settle-live         LIVE_CANARY  operator    maker              v1       ACTIVE_LIVE           B        
mmsell-type-tight                    PAPER        operator    maker              v1       ACTIVE_PAPER          B        
mmsell-type-tight-retired            RETIRED      operator    maker              -        RETIRED_OR_KILLED     C        
mmsell-type-wide                     RETIRED      operator    maker              -        RETIRED_OR_KILLED     C        
mmsell-variants-2026-07              PAPER        operator    maker              v1       ACTIVE_PAPER          B        
mmsell-wide-control                  PAPER        operator    maker              v1       ACTIVE_PAPER          B        
origin-scanner-books                 RETIRED      operator    scanner            -        HISTORICAL_UNTRACKED  D        
perp-v1                              RETIRED      operator    perp               v1       native                -        
pin15                                RETIRED      operator    observation_pin    -        RETIRED_OR_KILLED     C        
tfav                                 RETIRED      operator    favorite_buy       -        RETIRED_OR_KILLED     C        
theta4-fat-tail                      LIVE_CANARY  operator    theta              v1       ACTIVE_LIVE           B        
theta-tail-sell                      PAUSED       operator    theta              -        ACTIVE_PAPER          C        
wcprop                               RETIRED      operator    structural         -        RETIRED_OR_KILLED     C        
weather-consensus                    RETIRED      operator    forecast           -        RETIRED_OR_KILLED     C        
weather-consensus-city               RETIRED      operator    forecast           -        RETIRED_OR_KILLED     C        
weather-legacy-cells                 RETIRED      operator    forecast           -        RETIRED_OR_KILLED     D        
xgame                                RETIRED      idea_model  cross_venue        -        RETIRED_OR_KILLED     C        
