# ops request [READ]
# type=db  id=m9-rcpt-1
# code ca3ab4ae838012ca6bc65376da3f04474b4514bd · started 2026-09-11T17:57:49Z
t           command_id             action                   status     actor        actor_role     completed_at                    
----------  ---------------------  -----------------------  ---------  -----------  -------------  --------------------------------
experiment  mm10cap-register-1     REGISTER_PACKAGE         SUCCEEDED  claude-code  TASK_SPECIFIC  2026-09-02 00:57:41.629331+00:00
experiment  mm10cap-gatefix-1      REGISTER_PACKAGE         SUCCEEDED  claude-code  TASK_SPECIFIC  2026-09-02 01:28:57.960886+00:00
issue       xos-capacity-gate-1    OPEN_MANUAL              SUCCEEDED  claude-code  TASK_SPECIFIC  2026-09-02 08:00:59.990520+00:00
experiment  mm10cap-unfloor-1      REGISTER_PACKAGE         SUCCEEDED  claude-code  TASK_SPECIFIC  2026-09-02 08:25:39.088553+00:00
experiment  mm10cap-arm-1          ARM_CANARY               SUCCEEDED  claude-code  LIVE_OPS       2026-09-02 11:36:01.917430+00:00
issue       perpv1-closeout-gap-1  OPEN_MANUAL              REJECTED   claude-code  RESEARCH_LAB   2026-09-02 13:29:41.151868+00:00
issue       perpv1-closeout-gap-2  OPEN_MANUAL              SUCCEEDED  claude-code  RESEARCH_LAB   2026-09-02 13:33:15.247456+00:00
experiment  m2-register-1          REGISTER_PACKAGE         FAILED     claude-code  RESEARCH_LAB   2026-09-02 15:31:39.336274+00:00
experiment  perpv1-closeout-1      CLOSE_OUT_RETROSPECTIVE  FAILED     claude-code  LIVE_OPS       2026-09-02 15:38:09.432796+00:00
experiment  m2-register-2          REGISTER_PACKAGE         FAILED     claude-code  RESEARCH_LAB   2026-09-02 15:40:24.003366+00:00
experiment  m2-register-3          REGISTER_PACKAGE         FAILED     claude-code  RESEARCH_LAB   2026-09-02 16:09:33.862081+00:00
experiment  perpv1-closeout-2      CLOSE_OUT_RETROSPECTIVE  SUCCEEDED  claude-code  LIVE_OPS       2026-09-02 16:14:12.474841+00:00
experiment  m2-register-4          REGISTER_PACKAGE         SUCCEEDED  claude-code  RESEARCH_LAB   2026-09-02 16:21:24.135924+00:00

(13 rows)
