# ops request [READ]
# type=db  id=m9-trade-1
# code 1767695f3f45ab760374d50723d3a099e4b4c4e5 · started 2026-09-11T22:48:46Z
strategy       n   first_at                          last_at                           with_lineage
-------------  --  --------------------------------  --------------------------------  ------------
Cmmsell10      4   2026-09-11 22:45:03.380146+00:00  2026-09-11 22:45:30.298059+00:00  4           
Dmmsell10      4   2026-09-11 22:45:03.404101+00:00  2026-09-11 22:45:30.313534+00:00  4           
Fmmsell10      3   2026-09-11 22:45:03.469152+00:00  2026-09-11 22:45:28.486916+00:00  3           
Fmmsell10_pt4  4   2026-09-11 22:44:45.640438+00:00  2026-09-11 22:45:30.183409+00:00  4           
Gmmsell0       4   2026-09-11 22:45:03.421920+00:00  2026-09-11 22:45:30.328627+00:00  4           
Gmmsell1       3   2026-09-11 22:45:03.444686+00:00  2026-09-11 22:45:28.467702+00:00  3           
mmsell         11  2026-09-11 22:44:51.377204+00:00  2026-09-11 22:45:03.313284+00:00  11          
mmsell10       4   2026-09-11 22:45:03.360019+00:00  2026-09-11 22:45:30.258586+00:00  4           
mmsell5        2   2026-09-11 22:45:02.343629+00:00  2026-09-11 22:45:41.250779+00:00  2           
mmsell6        2   2026-09-11 22:45:03.336085+00:00  2026-09-11 22:45:22.129284+00:00  2           
mmsell9        18  2026-09-11 22:44:33.248728+00:00  2026-09-11 22:45:40.878501+00:00  18          
Rmmsell1       1   2026-09-11 22:45:05.341000+00:00  2026-09-11 22:45:05.341000+00:00  1           
Rmmsell2       1   2026-09-11 22:45:05.356872+00:00  2026-09-11 22:45:05.356872+00:00  1           
Tmmsell6       2   2026-09-11 22:45:28.406996+00:00  2026-09-11 22:45:30.276864+00:00  2           

(14 rows)
