# ops request [READ]
# type=db  id=nflspread-contest-pnl-4b
# actor=claude-research-lab  purpose=KXNFLSPREAD: per-contest P&L, hold buckets vs NFLTOTAL, live realized
# code 83d3500f319f0073522dcc4b8dc48e2c553455db · started 2026-09-06T03:58:06Z
sec        k                     a    b    c    d       e       f         
---------  --------------------  ---  ---  ---  ------  ------  ----------
P_contest  26AUG13ARILV          41   14   2    1.06    2.59    2026-08-14
P_contest  26AUG13DETCIN         116  13   1    7.85    6.77    2026-08-14
P_contest  26AUG13GBPIT          71   20   43   -34.75  -48.94  2026-08-14
P_contest  26AUG13INDNE          90   16   0    7.40    8.22    2026-08-14
P_contest  26AUG13LACHOU         33   7    21   -18.78  -56.90  2026-08-14
P_contest  26AUG13TENSF          85   19   0    8.48    9.97    2026-08-14
P_contest  26AUG14DENATL         80   21   9    -0.92   -1.15   2026-08-15
P_contest  26AUG14MIAWAS         51   11   13   -9.46   -18.54  2026-08-15
P_contest  26AUG14TBNYJ          73   14   22   -16.98  -23.26  2026-08-15
P_contest  26AUG15CARBUF         37   9    1    1.77    4.77    2026-08-15
P_contest  26AUG15CLECHI         56   18   46   -45.04  -80.43  2026-08-15
P_contest  26AUG15DALSEA         46   7    0    3.79    8.24    2026-08-16
P_contest  26AUG15JACNO          39   6    0    2.77    7.11    2026-08-15
P_contest  26AUG15LARKC          24   7    0    1.65    6.89    2026-08-15
P_contest  26AUG15MINNYG         39   7    0    2.87    7.37    2026-08-15
P_contest  26AUG15PHIBAL         50   9    32   -28.21  -56.42  2026-08-16
P_contest  26AUG20LVHOU          23   5    0    1.67    7.27    2026-08-21
P_contest  26AUG20SFLAC          21   5    3    -1.54   -7.35   2026-08-21
P_contest  26AUG21CARJAC         23   6    2    -0.32   -1.38   2026-08-22
P_contest  26AUG21GBDEN          24   7    20   -18.33  -76.36  2026-08-22
P_contest  26AUG21NYJPIT         24   5    7    -5.17   -21.54  2026-08-22
P_contest  26AUG22ATLIND         21   4    15   -13.57  -64.63  2026-08-22
P_contest  26AUG22BALMIN         24   7    0    1.95    8.12    2026-08-22
P_contest  26AUG22BUFCLE         23   7    16   -14.41  -62.63  2026-08-22
P_contest  26AUG22CHICIN         25   6    10   -8.41   -33.63  2026-08-23
P_contest  26AUG22DALARI         22   8    1    0.60    2.75    2026-08-23
P_contest  26AUG22KCTB           23   9    0    1.79    7.79    2026-08-23
P_contest  26AUG22NOLAR          23   7    8    -6.39   -27.77  2026-08-22
P_contest  26AUG22NYGMIA         25   8    3    -0.78   -3.13   2026-08-22
P_contest  26AUG22PHINE          19   5    0    1.38    7.25    2026-08-23
P_contest  26AUG22WASDET         24   6    0    1.89    7.87    2026-08-22
P_contest  26AUG23SEATEN         24   8    0    2.01    8.37    2026-08-24
P_contest  26AUG28ARIGB          23   7    0    1.95    8.48    2026-08-29
P_contest  26AUG28ATLMIA         28   7    0    2.32    8.30    2026-08-29
P_contest  26AUG28CINPHI         11   5    2    -1.17   -10.67  2026-08-29
P_contest  26AUG28HOUCAR         15   6    0    1.53    10.18   2026-08-29
P_contest  26AUG28MINDEN         22   6    1    1.02    4.64    2026-08-29
P_contest  26AUG28NODAL          25   9    0    1.99    7.95    2026-08-29
P_contest  26AUG28NYGNYJ         19   5    3    -1.47   -7.76   2026-08-29
P_contest  26AUG28SEAKC          14   8    0    1.55    11.05   2026-08-29
P_contest  26AUG28TBJAC          24   6    4    -1.90   -7.93   2026-08-29
P_contest  26AUG28WASBAL         27   10   4    -1.65   -6.10   2026-08-29
P_contest  26AUG29CHITEN         25   8    0    1.90    7.60    2026-08-30
P_contest  26AUG29DETIND         22   4    0    1.52    6.89    2026-08-29
Q_hold     KXNFLSPREAD/a_<1h     162  65   10   3.70    2.28    15.6      
Q_hold     KXNFLSPREAD/b_1-2h    200  67   4    10.53   5.26    9.1       
Q_hold     KXNFLSPREAD/c_2-4h    296  111  70   -47.33  -15.99  7.7       
Q_hold     KXNFLSPREAD/d_4-12h   180  94   48   -33.28  -18.49  9.9       
Q_hold     KXNFLSPREAD/e_12-48h  497  148  115  -74.41  -14.97  8.8       
Q_hold     KXNFLSPREAD/f_48h+    219  44   42   -25.75  -11.76  7.8       
Q_hold     KXNFLTOTAL/a_<1h      131  64   4    10.07   7.69    14.2      
Q_hold     KXNFLTOTAL/b_1-2h     174  75   6    9.51    5.46    13.5      
Q_hold     KXNFLTOTAL/c_2-4h     337  139  26   7.76    2.30    11.9      
Q_hold     KXNFLTOTAL/d_4-12h    87   45   4    3.30    3.79    17.5      
Q_hold     KXNFLTOTAL/e_12-48h   99   61   2    10.43   10.54   16.2      
Q_hold     KXNFLTOTAL/f_48h+     83   24   0    9.26    11.15   12.2      
R_live     realized              33   26   6    -3.71   93.2    26        
S_livecov  lost                  5    6                 93.4              
S_livecov  won                   21   27                93.1              

(59 rows)
