# latest deployment 3b5eee44-7493-4992-b6c9-7714adfbfd12 (status=SUCCESS, created=2026-09-05T11:37:11.737Z)
# ops request [READ]
# type=logs  service=main  id=outage-20260905
# code 7becc96c3688fb963ba650c731c46c6294e6351f · started 2026-09-05T11:42:36Z
# target service: main
2026-09-05T11:37:48.421675542Z INFO  Starting Container
2026-09-05T11:37:49.008268015Z ERROR  INFO  [alembic.runtime.migration] Context impl PostgresqlImpl.
2026-09-05T11:37:49.008270865Z ERROR  INFO  [alembic.runtime.migration] Will assume transactional DDL.
2026-09-05T11:37:49.358463469Z INFO  starting kalshi bot
2026-09-05T11:37:49.722398946Z INFO  experiment OS experiment command
2026-09-05T11:37:49.742303112Z INFO  experiment OS enforcement
2026-09-05T11:37:49.973334702Z INFO  api limits probe: {"grants": [{"exchange_instance": "event_contract", "level": "advanced", "source": "manual"}], "read": {"bucket_capacity": 900, "refill_rate": 300}, "usage_tier": "advanced", "write": {"bucket_capacity": 900, "refill_rate": 300}}
2026-09-05T11:37:50.007525823Z INFO  kalshi api tier upgrade skipped
2026-09-05T11:37:50.026739246Z INFO  live/paper twin epochs retired (dropped from LIVE_STRATEGIES)
2026-09-05T11:37:50.097162767Z INFO  live recover: reconciling in-flight orders
2026-09-05T11:37:51.861392239Z INFO  abandoned foreign paper positions
2026-09-05T11:38:11.819187499Z INFO  recorded gate result
2026-09-05T11:38:11.819192998Z INFO  recorded gate result
2026-09-05T11:38:11.957404838Z INFO  recorded gate result
2026-09-05T11:38:12.028745139Z INFO  recorded gate result
2026-09-05T11:38:12.543434221Z INFO  recorded gate result
2026-09-05T11:38:12.543436961Z INFO  gate evaluation cycle
2026-09-05T11:38:12.550222608Z INFO  exchange status
2026-09-05T11:39:33.099335901Z INFO  polymarket index
2026-09-05T11:39:34.236983276Z INFO  weather market
2026-09-05T11:39:36.277626183Z INFO  weather market
2026-09-05T11:39:36.981913510Z INFO  weather market
2026-09-05T11:39:37.882431471Z INFO  weather market
2026-09-05T11:39:38.802602260Z INFO  weather market
2026-09-05T11:39:39.696805679Z INFO  weather market
2026-09-05T11:39:40.699114812Z INFO  weather market
2026-09-05T11:39:44.993170254Z INFO  weather cycle
2026-09-05T11:39:44.993175544Z INFO  live cycle
2026-09-05T11:40:15.100007627Z INFO  weather validation
2026-09-05T11:40:16.482689527Z WARN  mmsell: book skipped — tag has no active Experiment OS deployment arm
2026-09-05T11:41:16.206621475Z INFO  mmsell book
2026-09-05T11:42:06.684685743Z INFO  regime history capture
2026-09-05T11:42:10.354433137Z INFO  theta: shadow cost
2026-09-05T11:42:10.354437297Z INFO  theta book funnel/v1 state=NO_ACTIONS first_zero=actions fetched=1416 eligible=976 candidates=32 actions=0 fetch=OK empty_series=0/4 failed_series=0/4
2026-09-05T11:42:10.598069150Z ERROR  freeze: ENTIRE configured universe returned zero open markets (7/7 series empty, none failed) — this book cannot trade: [KXCOCOA KXCOFFEE KXCORN KXCOTTON KXSOYBEAN +2]
2026-09-05T11:42:10.602005817Z INFO  freeze book funnel/v1 state=NO_MARKETS first_zero=fetched fetched=0 eligible=0 candidates=0 actions=0 fetch=EMPTY_UNIVERSE empty_series=7/7 empty=[KXCOCOA KXCOFFEE KXCORN KXCOTTON KXSOYBEAN +2] failed_series=0/7
2026-09-05T11:42:10.638485324Z ERROR  xgame: ENTIRE configured universe returned zero open markets (1/1 series empty, none failed) — this book cannot trade: [KXWCGAME]
2026-09-05T11:42:10.774199620Z INFO  xgame collector: funnel/v1 state=NO_MARKETS first_zero=fetched fetched=0 eligible=0 candidates=0 actions=0 fetch=EMPTY_UNIVERSE empty_series=1/1 empty=[KXWCGAME] failed_series=0/1 kal_games=0 pm_games=0 matched_new=0 active=0 polled=0 skipped_window=0 kal_rows=0 pm_rows=0 signals=0 opened=0 ended=0 errors=0
