# ops request: type='db'
k                        v                                                                     
-----------------------  ----------------------------------------------------------------------
new_rev                  active activated_at=2026-08-24 14:21:17.571842+00                     
predecessor              retired retired_at=2026-08-24 14:21:17.571842+00                      
old_epoch_9              ended_at=2026-08-24 14:21:17.571842+00                                
new_epoch_10             started_at=2026-08-24 14:21:17.571842+00 ended_at=NULL impact_class=I2
new_epoch_snapshot_pins  MARKET_TAXONOMY:settlement_repair_2026_08_24                          
i2_record                applied resulting_epoch_id=10                                         
epoch10_experiment       mmsell-type-tight                                                     

(7 rows)
