# ops request: type='db'
key                           state      
----------------------------  -----------
mmsell-scheduled-settle-live  LIVE_CANARY
theta4-fat-tail               LIVE_CANARY
freeze-dark-window-pin        PAPER      
mmsell-anchor-strangle        PAPER      
mmsell-anchor-vol-entry       PAPER      
mmsell-price-ceiling          PAPER      
mmsell-type-tight             PAPER      
mmsell-variants-2026-07       PAPER      
mmsell-wide-control           PAPER      
theta-tail-sell               PAUSED     
live-shape-probe              RETIRED    
mmsell11-no-late-entry        RETIRED    
mmsell4-skip-list             RETIRED    
mmsell-anchor-stops           RETIRED    
mmsell-first-cohort           RETIRED    
mmsell-maker-offset-ab        RETIRED    
mmsell-scan-depth             RETIRED    
mmsell-type-tight-retired     RETIRED    
mmsell-type-wide              RETIRED    
origin-scanner-books          RETIRED    
pin15                         RETIRED    
tfav                          RETIRED    
wcprop                        RETIRED    
weather-consensus             RETIRED    
weather-consensus-city        RETIRED    
weather-legacy-cells          RETIRED    
xgame                         RETIRED    

(27 rows)
