# ops request: type='db'
k                          v              
-------------------------  ---------------
deployments                11             
deployments_created_today  0              
live_orders_total          5106           
live_orders_today          0              
fills_total                1856           
enforcement                NEW_ONLY       
XOS-000006_status          RESOLVED       
XOS-000003_status          ACTION_REQUIRED
integrity_events           6              
epoch10_open               1              

(10 rows)
