# ops request [READ]
# type=db  id=pcr-impacts-1
# code cbbf710825f6de72e365f3977c4a86c8a2684fc3 · started 2026-09-05T14:36:07Z
id  exp_key                       revision_id  impact_class  action     status   blocks_activation  normalization_ref  applied_at                        rationale                                                                                                                                                       
--  ----------------------------  -----------  ------------  ---------  -------  -----------------  -----------------  --------------------------------  ----------------------------------------------------------------------------------------------------------------------------------------------------------------
8   freeze-dark-window-pin        11           I0            NO_ACTION  applied  False                                 2026-08-24 13:54:31.851978+00:00  I0 per PLATFORM_IMPACT_20260824.md section 4.3, and a written reason rather than 'probably unaffected': this experiment's spec contains no mtype=, xmtype= or mo
7   mmsell-anchor-strangle        11           I0            NO_ACTION  applied  False                                 2026-08-24 13:54:31.851978+00:00  I0 per PLATFORM_IMPACT_20260824.md section 4.3, and a written reason rather than 'probably unaffected': this experiment's spec contains no mtype=, xmtype= or mo
6   mmsell-anchor-vol-entry       11           I0            NO_ACTION  applied  False                                 2026-08-24 13:54:31.851978+00:00  I0 per PLATFORM_IMPACT_20260824.md section 4.3, and a written reason rather than 'probably unaffected': this experiment's spec contains no mtype=, xmtype= or mo
3   mmsell-price-ceiling          11           I0            NO_ACTION  applied  False                                 2026-08-24 13:54:31.851978+00:00  I0 per PLATFORM_IMPACT_20260824.md section 4.3, and a written reason rather than 'probably unaffected': this experiment's spec contains no mtype=, xmtype= or mo
2   mmsell-scheduled-settle-live  11           I0            NO_ACTION  applied  False                                 2026-08-24 13:54:31.851978+00:00  I0 per section 4.2, stated precisely because the experiment's NAME suggests otherwise. Its arms are Lmmsell8 (lo=5,hi=12,only=BTCD+ETH+ASG+HRDERBY) and Lmmsell1
1   mmsell-type-tight             11           I2            NEW_EPOCH  applied  False                                 2026-08-24 14:21:17.831298+00:00  I2 per section 4.1: this experiment's independent variable IS the contract-structure filter, so it reads SERIES_TYPES directly and three of its four arms gain a
4   mmsell-variants-2026-07       11           I0            NO_ACTION  applied  False                                 2026-08-24 13:54:31.851978+00:00  I0 per PLATFORM_IMPACT_20260824.md section 4.3, and a written reason rather than 'probably unaffected': this experiment's spec contains no mtype=, xmtype= or mo
5   mmsell-wide-control           11           I0            NO_ACTION  applied  False                                 2026-08-24 13:54:31.851978+00:00  I0 per PLATFORM_IMPACT_20260824.md section 4.3, and a written reason rather than 'probably unaffected': this experiment's spec contains no mtype=, xmtype= or mo
9   theta4-fat-tail               11           I0            NO_ACTION  applied  False                                 2026-08-24 13:54:31.851978+00:00  I0 per PLATFORM_IMPACT_20260824.md section 4.3, and a written reason rather than 'probably unaffected': this experiment's spec contains no mtype=, xmtype= or mo

(9 rows)
