# ops request [READ]
# type=xos  id=pcr-isslist-20260912
# code 1a541e15ca80c71a1e0241950251843bd18fba41 · started 2026-09-12T16:50:58Z
issue       sev     pri  classification  owner                   status            scope                                                          title                                                       
----------  ------  ---  --------------  ----------------------  ----------------  -------------------------------------------------------------  ------------------------------------------------------------
XOS-000001  HIGH    P1   STRATEGY        RESEARCH_LAB            CLOSED_NO_ACTION  mmsell-scheduled-settle-live · v1                              imported gate addresses deployment_kind=paper; epoch has no 
XOS-000002  HIGH    P1   STRATEGY        RESEARCH_LAB            CLOSED_NO_ACTION  theta4-fat-tail · v1                                           imported gate addresses deployment_kind=paper AND decides on
XOS-000011  HIGH    P1   OPS             LIVE_OPS                RESOLVED          mmsell-type-tight · v1/e1 · tmmsell-paper-legacy-1             Every mmsell paper book has been dark since 2026-08-24: an e
XOS-000018  HIGH    P1   OPS             LIVE_OPS                RESOLVED          system-wide                                                    livedash run page fails and the error path reports it as a 5
XOS-000020  HIGH    P1   STRATEGY        RESEARCH_LAB            OPEN              mmsell-price-ceiling-capacity                                  Concentration caps key on event_ticker, but the unit of corr
XOS-000021  HIGH    P1   PLATFORM        PLATFORM_CHANGE_REVIEW  RESOLVED          mmsell-anchor-vol-entry · v1 · paper_keep                      paper_keep is BLOCKED_PLATFORM                              
XOS-000033  HIGH    P1   INTEGRITY       LIVE_OPS                RESOLVED          mmsell-price-ceiling · v1/e1 · mmsell-ceiling-paper-mmsell9-1  mmsell9 went dark 2026-09-02: carrier deployment ended with 
XOS-000035  HIGH    P1   PLATFORM        PLATFORM_CHANGE_REVIEW  RESOLVED          mmsell-price-ceiling · v2/e2                                   unresolved integrity event [EXPERIMENT_CONFIG_DRIFT]        
XOS-000036  HIGH    P1   OPS             LIVE_OPS                OPEN              system-wide                                                    Two open LIVE canaries are outside the config-drift check en
XOS-000022  MEDIUM  P1   STRATEGY        RESEARCH_LAB            ACTION_REQUIRED   mmsell-price-ceiling · v2                                      KXNFLSPREAD is a negative selection cell at the contest leve
XOS-000014  HIGH    P2   OPS             LIVE_OPS                OPEN              mmsell-price-ceiling · v2/e2 · mmsell-ceiling-live-1           31% of live entry orders rejected 'user_not_found' — 100% co
XOS-000015  HIGH    P2   OPS             LIVE_OPS                OPEN              system-wide                                                    Worker crash-looped 16h51m on an invalid config set through 
XOS-000028  HIGH    P2   OPS             LIVE_OPS                RESOLVED          system-wide                                                    The 4h live order timeout silently fails to enforce when its
XOS-000031  HIGH    P2   DATA            LIVE_OPS                OPEN              system-wide                                                    paper_trades is not real-money P&L for a LIVE tag: never-fil
XOS-000004  MEDIUM  P2   OPS             LIVE_OPS                RESOLVED          system-wide                                                    Series-addressed books can see zero markets indefinitely wit
XOS-000006  MEDIUM  P2   PLATFORM        PLATFORM_CHANGE_REVIEW  RESOLVED          system-wide                                                    MMSELL settle-mode taxonomy: 198 unclassified series prefixe
XOS-000007  MEDIUM  P2   OPS             LIVE_OPS                RESOLVED          system-wide                                                    Concurrent force-refreshes of the ops branch can overwrite a
XOS-000008  MEDIUM  P2   PLATFORM        PLATFORM_CHANGE_REVIEW  OPEN              revision:settlement_repair_2026_08_24                          Settlement-taxonomy coverage decays over a long-running expe
XOS-000012  MEDIUM  P2   PLATFORM        PLATFORM_CHANGE_REVIEW  OPEN              system-wide                                                    Standing a live book down by naming a different one in LIVE_
XOS-000013  MEDIUM  P2   DATA            LIVE_OPS                OPEN              mmsell-price-ceiling · v2/e2 · mmsell-ceiling-live-1           live_fill_rate_pct reads 0% on a filling book: fills do not 
XOS-000016  MEDIUM  P2   STRATEGY        RESEARCH_LAB            OPEN              mmsell-price-ceiling-capacity                                  A capacity-only successor is forced to re-prove a paper edge
XOS-000019  MEDIUM  P2   OPS             LIVE_OPS                OPEN              system-wide                                                    Evo service: LLM-provider payment failures (402) went unaler
XOS-000023  MEDIUM  P2   STRATEGY        RESEARCH_LAB            OPEN              mmsell-correlation-cap                                         An armed experiment collecting NOTHING was not a detectable 
XOS-000024  MEDIUM  P2   DATA            RESEARCH_LAB            OPEN              mmsell-price-ceiling-contest-cap · v1 · live_canary_keep       live_canary_keep is BLOCKED_DATA                            
XOS-000025  MEDIUM  P2   DATA            RESEARCH_LAB            OPEN              mmsell-scheduled-settle-live · v1 · live_canary_keep           live_canary_keep is BLOCKED_DATA                            
XOS-000026  MEDIUM  P2   DATA            RESEARCH_LAB            OPEN              theta4-fat-tail · v1 · live_canary_keep                        live_canary_keep is BLOCKED_DATA                            
XOS-000027  MEDIUM  P2   OPS             LIVE_OPS                OPEN              system-wide                                                    A failing boot hook wedges the single-slot command transport
XOS-000029  MEDIUM  P2   OPS             LIVE_OPS                OPEN              system-wide                                                    sync_twin_epoch cannot reopen a closed twin epoch, so any re
XOS-000032  MEDIUM  P2   PLATFORM        PLATFORM_CHANGE_REVIEW  OPEN              system-wide                                                    Series with no manifest row inherit the nearest prefix row's
XOS-000003  LOW     P2   STRATEGY        RESEARCH_LAB            RESOLVED          freeze-dark-window-pin · v1/e1                                 freeze-dark-window-pin is deployed but has produced zero evi
XOS-000030  LOW     P2   PLATFORM        PLATFORM_CHANGE_REVIEW  OPEN              system-wide                                                    Two mmsell series are recorded under the wrong market taxono
XOS-000005  LOW     P3   OPS             LIVE_OPS                RESOLVED          system-wide                                                    issue-command-show and issue-command-list are documented as 
XOS-000009  LOW     P3   STRATEGY        RESEARCH_LAB            OPEN              system-wide                                                    MMSELL skip=BTC+ETH+SOL+DOGE+XRP+CRYPTO is a substring block
