# ops request: type='db'
issue_key   status            classification  owner                   title                                                                                     
----------  ----------------  --------------  ----------------------  ------------------------------------------------------------------------------------------
XOS-000001  CLOSED_NO_ACTION  STRATEGY        RESEARCH_LAB            imported gate addresses deployment_kind=paper; epoch has no paper deployment              
XOS-000002  CLOSED_NO_ACTION  STRATEGY        RESEARCH_LAB            imported gate addresses deployment_kind=paper AND decides on the wrong basis              
XOS-000003  ACTION_REQUIRED   STRATEGY        RESEARCH_LAB            freeze-dark-window-pin is deployed but has produced zero evidence                         
XOS-000004  RESOLVED          OPS             LIVE_OPS                Series-addressed books can see zero markets indefinitely with no operator-visible warning,
XOS-000005  RESOLVED          OPS             LIVE_OPS                issue-command-show and issue-command-list are documented as ops-allowlisted but are absent
XOS-000006  OPEN              PLATFORM        PLATFORM_CHANGE_REVIEW  MMSELL settle-mode taxonomy: 198 unclassified series prefixes (14.31% of the eligible non-
XOS-000007  OPEN              OPS             LIVE_OPS                Concurrent force-refreshes of the ops branch can overwrite an in-flight request/result his

(7 rows)
