# ops request: type='db'
component          version                                status  fingerprint  activated_at            retired_at  pr_ref 
-----------------  -------------------------------------  ------  -----------  ----------------------  ----------  -------
DATA_PROVENANCE    live_vs_backfill_2026_08               active  -            -                       -           -      
EXECUTION_ENGINE   live_executor_2026_08                  active  -            -                       -           -      
EXPERIMENT_ENGINE  foundation_pr1                         active  -            -                       -           PR #221
FEE_MODEL          maker_rate_2026_08_11                  active  -            2026-08-11 15:00:00+00  -           -      
FILL_MODEL         assumed_fill_plus_mmsell3_calibration  active  -            -                       -           -      
KALSHI_API_SCHEMA  advanced_tier_2026_08_12               active  -            -                       -           -      
MARKET_TAXONOMY    coverage_2026_08_13                    active  -            2026-08-13 18:09:40+00  -           -      
METRICS_ENGINE     pnl_scripts_2026_08                    active  -            -                       -           -      
RISK_ENGINE        caps_2026_08                           active  -            -                       -           -      
SETTLEMENT_ENGINE  hold_to_settlement_2026_08             active  -            -                       -           -      

(10 rows)
