# ops request: type='db'
k                                     n  
------------------------------------  ---
ask                                   252
bid                                   252
contract_size                         252
exchange_index                        252
fractional_trading_enabled            252
leverage_estimate                     252
leverage_estimates                    252
liquidation_mark_price                252
long_leverage_estimates               252
open_interest                         252
open_interest_notional_value_dollars  252
price                                 252
reference_price                       252
schedule                              252
settlement_mark_price                 228
short_leverage_estimates              252
status                                252
ticker                                252
tick_size                             252
title                                 252
volume                                252
volume_24h                            252
volume_24h_notional_value_dollars     252
volume_notional_value_dollars         252

(24 rows)
