# ops request: type='db'
strategy       pos_open  pos_closed  oldest_open                  
-------------  --------  ----------  -----------------------------
mmsell         198       10244       2026-07-03 17:10:41.818325+00
mmsell6        132       5468        2026-07-16 12:54:50.662412+00
mmsell10       110       4143        2026-07-19 13:28:22.288354+00
Lmmsell10      110       2282        2026-08-15 12:51:28.929737+00
mmsellA4       109       2845        2026-07-30 17:11:58.858433+00
Cmmsell10      80        470         2026-08-28 14:46:25.751096+00
mmsellA5       68        2606        2026-08-03 15:51:16.048758+00
Tmmsell6       44        2079        2026-08-04 13:18:26.911963+00
Tmmsell5       39        437         2026-08-04 12:47:59.134115+00
mmsell9        20        1880        2026-07-19 19:10:30.721391+00
Cmmsell10_pt3  20        41          2026-08-28 14:46:26.678499+00
Tmmsell1       19        335         2026-08-04 13:18:26.874258+00
mmsell7        19        903         2026-07-16 12:54:52.013905+00
mmsell5        15        3854        2026-07-16 22:37:16.734978+00
Lmmsell8       11        70          2026-08-15 12:51:30.728238+00

(15 rows)
