# ops request [READ]
# type=db  id=qac-b-3
# code 71458417f5045118a78ce255da1acbe2c30d929c · started 2026-09-07T03:06:34Z
age_min  bucket_now  still_resting  filled_later  pct_fill_later
-------  ----------  -------------  ------------  --------------
15       b0          148            48            32.4          
15       b101_1k     45             14            31.1          
15       b1_10       11             3             27.3          
15       b11_100     29             17            58.6          
15       b1k_5k      35             12            34.3          
15       b5k+        64             20            31.3          
30       b0          127            31            24.4          
30       b101_1k     38             10            26.3          
30       b1_10       12             3             25.0          
30       b11_100     20             11            55.0          
30       b1k_5k      31             10            32.3          
30       b5k+        57             15            26.3          
45       b0          117            28            23.9          
45       b101_1k     36             8             22.2          
45       b1_10       12             3             25.0          
45       b11_100     16             9             56.3          
45       b1k_5k      29             11            37.9          
45       b5k+        52             12            23.1          
60       b0          103            20            19.4          
60       b101_1k     33             7             21.2          
60       b1_10       12             3             25.0          
60       b11_100     17             9             52.9          
60       b1k_5k      33             15            45.5          
60       b5k+        46             7             15.2          
90       b0          78             16            20.5          
90       b101_1k     31             6             19.4          
90       b1_10       9              1             11.1          
90       b11_100     13             5             38.5          
90       b1k_5k      25             7             28.0          
90       b5k+        40             4             10.0          
120      b0          62             10            16.1          
120      b101_1k     29             6             20.7          
120      b1_10       7              0             0.0           
120      b11_100     12             4             33.3          
120      b1k_5k      27             7             25.9          
120      b5k+        34             2             5.9           
150      b0          47             7             14.9          
150      b101_1k     26             6             23.1          
150      b1_10       7              0             0.0           
150      b11_100     12             4             33.3          
150      b1k_5k      19             2             10.5          
150      b5k+        33             2             6.1           
180      b0          41             2             4.9           
180      b101_1k     24             4             16.7          
180      b1_10       6              0             0.0           
180      b11_100     10             2             20.0          
180      b1k_5k      18             1             5.6           
180      b5k+        26             1             3.8           
210      b0          42             0             0.0           
210      b101_1k     19             2             10.5          
210      b1_10       5              0             0.0           
210      b11_100     10             1             10.0          
210      b1k_5k      17             1             5.9           
210      b5k+        25             0             0.0           

(54 rows)
