# ops request [READ]
# type=db  id=qac-b-5
# code 71458417f5045118a78ce255da1acbe2c30d929c · started 2026-09-07T03:10:32Z
age_at_fill  depth_at_last_tick  fills  contested  settled  pnl_usd  cents_per_ct  wins  losses
-----------  ------------------  -----  ---------  -------  -------  ------------  ----  ------
a180+        b0                  4      0          2        0.16     7.93          2     0     
a180+        b101_1k             4      0          3        0.23     7.57          3     0     
a180+        b1_100              1      0          1        0.06     6.00          1     0     
a180+        b1k_5k              1      0          1        0.07     6.88          1     0     
a30_90       b0                  27     0          26       -1.01    -3.89         23    3     
a30_90       b101_1k             1      0          1        0.07     6.88          1     0     
a30_90       b1_100              4      0          2        -0.87    -43.50        1     1     
a30_90       b1k_5k              5      0          5        0.33     6.58          5     0     
a30_90       b5k+                3      0          3        0.20     6.63          3     0     
a<5          b0                  28     0          28       -1.76    -6.29         24    4     
a<5          b101_1k             3      0          2        0.13     6.44          2     0     
a<5          b1_100              4      0          3        0.22     7.33          3     0     
a<5          b1k_5k              1      0          1        0.07     6.88          1     0     
a<5          b5k+                2      1          1        -0.93    -93.00        0     1     
a<5          no_tel              33     1          30       -2.78    -9.25         25    5     
a5_30        b0                  48     0          42       0.45     1.08          39    3     
a5_30        b101_1k             5      0          3        0.21     6.96          3     0     
a5_30        b1_100              12     0          10       -0.34    -3.42         9     1     
a5_30        b1k_5k              3      0          3        0.20     6.67          3     0     
a5_30        b5k+                1      0          1        0.07     7.00          1     0     
a90_180      b0                  15     0          14       1.03     7.33          14    0     
a90_180      b101_1k             2      0          1        0.07     6.88          1     0     
a90_180      b1_100              7      2          4        0.27     6.75          4     0     
a90_180      b1k_5k              2      0          2        0.13     6.39          2     0     
a90_180      b5k+                1      0          1        0.07     6.88          1     0     

(25 rows)
