# ops request [READ]
# type=db  id=qac-stuck-1
# code 303664b770e94c90a3bda34a26246a75c8189f14 · started 2026-09-07T13:22:41Z
kalshi_order_id                       strategy   status   created_at                     age_min  cancel_reason  market_ticker                                qac_rows
------------------------------------  ---------  -------  -----------------------------  -------  -------------  -------------------------------------------  --------
01a0799b-8b40-7b41-b051-7363555c04aa  Fmmsell10  resting  2026-09-07 02:03:52.423107+00  679                     KXBTCD-26SEP1117-T85999.99                   47      
01a07b7f-dba0-7423-bfd7-5a5c8f8bf4a9  Fmmsell10  resting  2026-09-07 10:52:52.359103+00  150                     KXWTI-26SEP0814-T96.99                       47      
01a07b7f-fec8-7e4c-8a02-5956f36c2f50  Fmmsell10  resting  2026-09-07 10:53:01.512592+00  150                     KXUCLGAME-26SEP09BARFEY-TIE                  47      
01a07b80-0e68-78cb-a8ff-8ad21dcdcafc  Fmmsell10  resting  2026-09-07 10:53:05.490381+00  150                     KXFEDMENTION-26SEP-TRUM                      47      
01a07b80-5c88-7d62-8de3-d4d40767aceb  Fmmsell10  resting  2026-09-07 10:53:25.006958+00  149                     KXMLBKS-26SEP071335CLEBAL-CLEJCANTILLO54-10  47      
01a07b9b-d3c8-7cbb-826b-639b83bc3ddc  Fmmsell10  resting  2026-09-07 11:23:25.128011+00  119                     KXMLBKS-26SEP071710WSHSD-WSHJIRVIN27-8       47      
01a07ba2-d4c0-7af8-9c7b-ccd0836dde19  Fmmsell10  resting  2026-09-07 11:31:04.12648+00   112                     KXMLBKS-26SEP071310NYMMIA-MIAEPREZ39-10      47      

(7 rows)
