# ops request [READ]
# type=db  id=rl-albumequiv-1
# actor=claude-research-lab  purpose=KXALBUMEQUIV loss cell: family, contest, band, book, hold, week
# code 3346bf8dc3e8d3c7e17f08c2376aea6795cda746 · started 2026-09-06T13:28:34Z
sec        k                      n    mkts  cnts  pnl     cpt     entry  losspct
---------  ---------------------  ---  ----  ----  ------  ------  -----  -------
A_family   KXALBUMEQUIV           257  38    9     -55.06  -21.42  12.8   33.9   
A_family   KXNETFLIXRANKSHOW      41   10    4     3.11    7.57    14.4   0.0    
A_family   KXPUREALBUMS           21   2     2     1.30    6.21    7.0    0.0    
A_family   KXRANKLISTSONGSPOTUSA  22   3     1     1.64    7.45    8.5    0.0    
A_family   KXRT                   427  72    15    -9.23   -2.16   15.1   13.3   
A_family   KXTOPMODEL             32   6     3     1.81    5.67    14.7   3.1    
B_contest  CHU26AUG13             6    1     6     0.62    10.35   10.5   0.0    
B_contest  LON26AUG27             17   3     9     1.36    7.99    13.2   0.0    
B_contest  LOS26AUG20             34   6     14    -22.49  -66.16  13.6   76.5   
B_contest  NDA26AUG20             10   3     8     0.80    7.97    16.9   0.0    
B_contest  NOM26AUG13             63   5     21    -13.40  -21.27  12.0   38.1   
B_contest  PET26AUG06             17   2     16    1.30    7.65    13.8   0.0    
B_contest  SIN26AUG27             12   3     10    0.86    7.13    14.4   0.0    
B_contest  THI26AUG13             73   7     21    -23.45  -32.12  11.0   46.6   
B_contest  WILD26AUG20            25   8     9     -0.65   -2.62   16.4   12.0   
C_band     a_<=7                  162  18    9     -15.80  -9.76   6.7    22.2   
C_band     b_08-11                45   11    8     -12.99  -28.86  9.8    37.8   
C_band     c_12-20                29   12    6     -21.67  -74.72  16.0   89.7   
C_band     d_21+                  21   17    9     -4.60   -21.91  62.5   38.1   
D_book     Cmmsell10              2    2     2     0.13    6.40    6.5    0.0    
D_book     Lmmsell10              10   10    6     -0.34   -3.41   6.7    10.0   
D_book     mmsell                 23   23    9     -7.24   -31.46  17.2   47.8   
D_book     mmsell1                12   12    4     -5.71   -47.58  11.8   58.3   
D_book     mmsell10               18   18    9     -2.88   -16.00  6.7    22.2   
D_book     mmsell10a              4    4     2     -1.77   -44.25  6.8    50.0   
D_book     mmsell10b              4    4     3     -0.77   -19.25  6.8    25.0   
D_book     mmsell10d              1    1     1     0.06    5.90    6.0    0.0    
D_book     mmsell10e              1    1     1     0.06    5.90    6.0    0.0    
D_book     mmsell11               10   10    4     -4.09   -40.90  10.1   50.0   
D_book     mmsell2                10   10    3     -6.63   -66.30  14.9   80.0   
D_book     mmsell3                10   10    4     -4.09   -40.90  10.1   50.0   
D_book     mmsell4                10   10    4     -4.09   -40.90  10.1   50.0   
D_book     mmsell6                18   18    9     -2.72   -15.12  7.7    22.2   
D_book     mmsell7                4    4     4     0.29    7.17    7.5    0.0    
D_book     mmsellA1               12   8     3     -0.74   -6.18   6.8    58.3   
D_book     mmsellA2               9    8     3     -0.56   -6.22   6.8    44.4   
D_book     mmsellA3               8    8     3     -0.73   -9.13   6.8    37.5   
D_book     mmsellA4               17   17    8     -2.94   -17.29  6.8    23.5   
D_book     mmsellA5               25   25    9     -1.46   -5.86   44.8   12.0   
D_book     Tmmsell4               8    8     3     -2.54   -31.75  6.8    37.5   
D_book     Tmmsell5               14   14    8     -0.08   -0.54   6.7    7.1    
D_book     Tmmsell6               14   14    8     -0.08   -0.54   6.7    7.1    
D_book     Wmmsell6               13   13    4     -6.14   -47.23  15.6   61.5   
E_hold     a_<1h                  1    1     1     -0.08   -8.00   7.0    100.0  
E_hold     b_1-24h                25   5     4     -0.11   -0.44   11.5   28.0   
E_hold     c_24-72h               52   13    7     -3.02   -5.81   7.3    21.2   
E_hold     d_72h+                 179  32    8     -51.85  -28.96  14.7   38.0   
F_week     08-03                  17   2     1     1.30    7.65    13.8   0.0    
F_week     08-10                  86   10    3     -24.04  -27.95  10.7   47.7   
F_week     08-17                  125  22    4     -34.54  -27.63  14.0   36.8   
F_week     08-24                  29   6     2     2.21    7.64    13.7   0.0    

(51 rows)
