# ops request [READ]
# type=db  id=rl-albumequiv-3
# actor=claude-research-lab  purpose=KXALBUMEQUIV: how many ladder rungs one book held on one album event
# code 3346bf8dc3e8d3c7e17f08c2376aea6795cda746 · started 2026-09-06T13:31:31Z
sec               k                    book_contests  pnl     lost_trades  books                                                                                                                                                                                              
----------------  -------------------  -------------  ------  -----------  ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
J_rungs_per_book  1                    42             3.15    0            Cmmsell10,Lmmsell10,mmsell,mmsell1,mmsell10,mmsell10b,mmsell10d,mmsell10e,mmsell11,mmsell3,mmsell4,mmsell6,mmsell7,mmsellA1,mmsellA2,mmsellA3,mmsellA4,mmsellA5,Tmmsell4,Tmmsell5,Tmmsell6,Wmmsell6
J_rungs_per_book  2                    30             -10.46  15           Lmmsell10,mmsell,mmsell10,mmsell10a,mmsell10b,mmsell11,mmsell3,mmsell4,mmsell6,mmsellA4,mmsellA5,Tmmsell5,Tmmsell6                                                                                 
J_rungs_per_book  3                    21             -13.85  25           Lmmsell10,mmsell,mmsell1,mmsell10,mmsell11,mmsell2,mmsell3,mmsell4,mmsell6,mmsellA1,mmsellA2,mmsellA3,mmsellA4,mmsellA5,Tmmsell4,Tmmsell5,Tmmsell6                                                 
J_rungs_per_book  4                    19             -31.52  44           mmsell,mmsell1,mmsell10,mmsell11,mmsell2,mmsell3,mmsell4,mmsell6,mmsellA1,mmsellA2,mmsellA3,mmsellA4,Tmmsell4,Wmmsell6                                                                             
J_rungs_per_book  5                    1              -0.72   1            mmsellA5                                                                                                                                                                                           
J_rungs_per_book  6                    1              -1.65   2            mmsellA5                                                                                                                                                                                           
K_worst           mmsell10/THI26AUG13  4              -1.77   2            2026-08-09                                                                                                                                                                                         
K_worst           mmsell11/LOS26AUG20  2              -1.81   2            2026-08-09                                                                                                                                                                                         
K_worst           mmsell11/THI26AUG13  4              -1.66   2            2026-08-09                                                                                                                                                                                         
K_worst           mmsell1/LOS26AUG20   3              -2.65   3            2026-08-09                                                                                                                                                                                         
K_worst           mmsell1/NOM26AUG13   4              -1.56   2            2026-08-09                                                                                                                                                                                         
K_worst           mmsell1/THI26AUG13   4              -1.60   2            2026-08-09                                                                                                                                                                                         
K_worst           mmsell2/LOS26AUG20   3              -2.57   3            2026-08-09                                                                                                                                                                                         
K_worst           mmsell2/NOM26AUG13   3              -1.58   2            2026-08-09                                                                                                                                                                                         
K_worst           mmsell2/THI26AUG13   4              -2.48   3            2026-08-09                                                                                                                                                                                         
K_worst           mmsell3/LOS26AUG20   2              -1.81   2            2026-08-09                                                                                                                                                                                         
K_worst           mmsell3/THI26AUG13   4              -1.66   2            2026-08-09                                                                                                                                                                                         
K_worst           mmsell4/LOS26AUG20   2              -1.81   2            2026-08-09                                                                                                                                                                                         
K_worst           mmsell4/THI26AUG13   4              -1.66   2            2026-08-09                                                                                                                                                                                         
K_worst           mmsell6/THI26AUG13   4              -1.74   2            2026-08-09                                                                                                                                                                                         
K_worst           mmsellA4/THI26AUG13  4              -1.77   2            2026-08-09                                                                                                                                                                                         
K_worst           mmsellA5/THI26AUG13  6              -1.65   2            2026-08-09                                                                                                                                                                                         
K_worst           mmsell/LOS26AUG20    4              -3.39   4            2026-08-09                                                                                                                                                                                         
K_worst           mmsell/NOM26AUG13    4              -1.39   2            2026-08-09                                                                                                                                                                                         
K_worst           mmsell/THI26AUG13    4              -1.49   2            2026-08-09                                                                                                                                                                                         
K_worst           mmsell/WILD26AUG20   3              -2.12   3            2026-08-15                                                                                                                                                                                         
K_worst           Tmmsell4/THI26AUG13  4              -1.77   2            2026-08-09                                                                                                                                                                                         
K_worst           Wmmsell6/LOS26AUG20  4              -3.39   4            2026-08-09                                                                                                                                                                                         
K_worst           Wmmsell6/NOM26AUG13  4              -1.39   2            2026-08-09                                                                                                                                                                                         
K_worst           Wmmsell6/THI26AUG13  4              -1.46   2            2026-08-09                                                                                                                                                                                         

(30 rows)
