# ops request [READ]
# type=db  id=rl-albumequiv-4
# actor=claude-research-lab  purpose=KXALBUMEQUIV: is rung-count confounded with entry price? cheap-band-only cut
# code 3346bf8dc3e8d3c7e17f08c2376aea6795cda746 · started 2026-09-06T13:32:42Z
sec               k  trades  avg_entry  pnl     cpt     losspct  cnts
----------------  -  ------  ---------  ------  ------  -------  ----
L_entry_by_rungs  1  42      8.0        3.15    7.50    0.0      8   
L_entry_by_rungs  2  60      15.1       -10.46  -17.44  25.0     7   
L_entry_by_rungs  3  67      11.9       -13.85  -20.68  37.3     3   
L_entry_by_rungs  4  77      10.9       -31.52  -40.94  57.1     3   
L_entry_by_rungs  5  5       41.6       -0.72   -14.42  20.0     1   
L_entry_by_rungs  6  6       35.5       -1.65   -27.50  33.3     1   
M_cheapband_only  1  31      6.6        1.95    6.28    0.0      8   
M_cheapband_only  2  43      6.7        -5.21   -12.11  18.6     7   
M_cheapband_only  3  45      6.7        -2.91   -6.47   24.4     2   
M_cheapband_only  4  36      6.7        -7.03   -19.53  38.9     2   
M_cheapband_only  5  3       6.7        -0.83   -27.67  33.3     1   
M_cheapband_only  6  4       6.8        -1.77   -44.25  50.0     1   

(12 rows)
