# latest deployment ab0cf790-ff93-4058-843d-f9e4aaf6ba47 (status=SUCCESS, created=2026-09-06T12:55:54.947Z)
# ops request [READ]
# type=logs  service=main  id=rl-boot-logs-2
# code a2217488ad3b1429249c73380e5f6e3e3239af39 · started 2026-09-06T13:06:01Z
# target service: main
2026-09-06T12:56:31.112331401Z INFO  Starting Container
2026-09-06T12:56:31.965445256Z ERROR  INFO  [alembic.runtime.migration] Context impl PostgresqlImpl.
2026-09-06T12:56:31.965452836Z ERROR  INFO  [alembic.runtime.migration] Will assume transactional DDL.
2026-09-06T12:56:32.334906786Z INFO  starting kalshi bot
2026-09-06T12:56:32.612802416Z ERROR  experiment OS experiment command hook failed; continuing to trade
2026-09-06T12:56:32.644036093Z INFO  experiment OS enforcement
2026-09-06T12:56:32.965856654Z INFO  api limits probe: {"grants": [{"exchange_instance": "event_contract", "level": "advanced", "source": "manual"}], "read": {"bucket_capacity": 900, "refill_rate": 300}, "usage_tier": "advanced", "write": {"bucket_capacity": 900, "refill_rate": 300}}
2026-09-06T12:56:32.965860274Z INFO  kalshi api tier upgrade skipped
2026-09-06T12:56:32.965864164Z INFO  live recover: reconciling in-flight orders
2026-09-06T12:56:33.955431282Z INFO  abandoned foreign paper positions
2026-09-06T12:56:53.682654641Z INFO  gate evaluation cycle
2026-09-06T12:56:53.682657341Z INFO  exchange status
2026-09-06T12:58:23.703107015Z INFO  polymarket index
2026-09-06T12:58:23.703110525Z INFO  weather market
2026-09-06T12:58:23.703115875Z INFO  weather market
2026-09-06T12:58:23.703119455Z INFO  weather market
2026-09-06T12:58:23.704579744Z INFO  weather market
2026-09-06T12:58:23.704586804Z INFO  weather market
2026-09-06T12:58:23.704590994Z INFO  weather market
2026-09-06T12:58:23.705643710Z INFO  weather market
2026-09-06T12:58:23.705646720Z INFO  weather cycle
2026-09-06T12:58:23.705649919Z INFO  live cycle
2026-09-06T12:58:43.706365360Z INFO  weather validation
2026-09-06T12:58:43.706368770Z WARN  mmsell: book skipped — tag has no active Experiment OS deployment arm
2026-09-06T12:59:43.723125562Z INFO  mmsell book
2026-09-06T13:00:37.813867108Z INFO  regime history capture
2026-09-06T13:00:37.813870568Z INFO  theta: shadow cost
2026-09-06T13:00:37.813875178Z INFO  theta book funnel/v1 state=NO_ELIGIBLE first_zero=eligible fetched=1316 eligible=0 candidates=0 actions=0 fetch=OK empty_series=0/4 failed_series=0/4
2026-09-06T13:00:37.813880298Z ERROR  freeze: ENTIRE configured universe returned zero open markets (7/7 series empty, none failed) — this book cannot trade: [KXCOCOA KXCOFFEE KXCORN KXCOTTON KXSOYBEAN +2]
2026-09-06T13:00:37.813884678Z INFO  freeze book funnel/v1 state=NO_MARKETS first_zero=fetched fetched=0 eligible=0 candidates=0 actions=0 fetch=EMPTY_UNIVERSE empty_series=7/7 empty=[KXCOCOA KXCOFFEE KXCORN KXCOTTON KXSOYBEAN +2] failed_series=0/7
2026-09-06T13:00:37.813898758Z ERROR  xgame: ENTIRE configured universe returned zero open markets (1/1 series empty, none failed) — this book cannot trade: [KXWCGAME]
2026-09-06T13:00:37.813904398Z INFO  xgame collector: funnel/v1 state=NO_MARKETS first_zero=fetched fetched=0 eligible=0 candidates=0 actions=0 fetch=EMPTY_UNIVERSE empty_series=1/1 empty=[KXWCGAME] failed_series=0/1 kal_games=0 pm_games=0 matched_new=0 active=0 polled=0 skipped_window=0 kal_rows=0 pm_rows=0 signals=0 opened=0 ended=0 errors=0
2026-09-06T13:01:33.786181812Z INFO  exchange status
2026-09-06T13:03:03.519124383Z INFO  polymarket index
2026-09-06T13:03:03.519133022Z INFO  weather market
2026-09-06T13:03:03.519139582Z INFO  weather market
2026-09-06T13:03:03.519144422Z INFO  weather market
2026-09-06T13:03:03.521116674Z INFO  weather market
2026-09-06T13:03:03.521123234Z INFO  weather market
2026-09-06T13:03:03.521127154Z INFO  weather market
2026-09-06T13:03:03.522811590Z INFO  weather market
2026-09-06T13:03:06.471945354Z INFO  weather cycle
2026-09-06T13:03:06.471952074Z INFO  live cycle
2026-09-06T13:03:06.510209002Z INFO  weather validation
2026-09-06T13:03:06.523870563Z INFO  regime history capture
2026-09-06T13:04:06.670928164Z INFO  exchange status
2026-09-06T13:05:36.407305120Z INFO  polymarket index
2026-09-06T13:05:36.407312160Z INFO  weather market
2026-09-06T13:05:36.407317540Z INFO  weather market
2026-09-06T13:05:36.407323570Z INFO  weather market
2026-09-06T13:05:36.409862264Z INFO  weather market
2026-09-06T13:05:36.409867134Z INFO  weather market
2026-09-06T13:05:36.409871384Z INFO  weather market
2026-09-06T13:05:36.412573718Z INFO  weather market
2026-09-06T13:05:36.412578087Z INFO  weather cycle
2026-09-06T13:05:36.412581307Z INFO  live cycle
2026-09-06T13:05:36.412584077Z INFO  weather validation
2026-09-06T13:05:36.412586637Z INFO  regime history capture
2026-09-06T13:05:36.538929233Z INFO  theta: shadow cost
2026-09-06T13:05:36.549121822Z INFO  theta book funnel/v1 state=NO_ACTIONS first_zero=actions fetched=1416 eligible=976 candidates=80 actions=0 fetch=OK empty_series=0/4 failed_series=0/4
2026-09-06T13:05:36.562491986Z INFO  xgame collector: funnel/v1 state=NO_CANDIDATES first_zero=candidates fetched=NOT_RUN eligible=NOT_RUN candidates=0 actions=0 not_run=fetched,eligible kal_games=0 pm_games=0 matched_new=0 active=0 polled=0 skipped_window=0 kal_rows=0 pm_rows=0 signals=0 opened=0 ended=0 errors=0
