# latest deployment e95c8109-9f83-4a80-91eb-baf234ac810d (status=SUCCESS, created=2026-09-06T13:16:36.587Z)
# ops request [READ]
# type=logs  service=main  id=rl-boot-logs-3
# code 3346bf8dc3e8d3c7e17f08c2376aea6795cda746 · started 2026-09-06T13:19:51Z
# target service: main
2026-09-06T13:17:15.639423840Z ERROR  INFO  [alembic.runtime.migration] Context impl PostgresqlImpl.
2026-09-06T13:17:15.639429250Z ERROR  INFO  [alembic.runtime.migration] Will assume transactional DDL.
2026-09-06T13:17:15.689400803Z INFO  Starting Container
2026-09-06T13:17:16.021643174Z INFO  starting kalshi bot
2026-09-06T13:17:16.291787312Z INFO  experiment OS experiment command
2026-09-06T13:17:16.327916618Z INFO  experiment OS enforcement
2026-09-06T13:17:16.467323989Z INFO  api limits probe: {"grants": [{"exchange_instance": "event_contract", "level": "advanced", "source": "manual"}], "read": {"bucket_capacity": 900, "refill_rate": 300}, "usage_tier": "advanced", "write": {"bucket_capacity": 900, "refill_rate": 300}}
2026-09-06T13:17:16.467327048Z INFO  kalshi api tier upgrade skipped
2026-09-06T13:17:16.532226607Z INFO  live recover: reconciling in-flight orders
2026-09-06T13:17:17.155825916Z INFO  abandoned foreign paper positions
2026-09-06T13:17:37.145687231Z INFO  gate evaluation cycle
2026-09-06T13:17:37.145689921Z INFO  exchange status
2026-09-06T13:18:57.261158882Z INFO  polymarket index
2026-09-06T13:18:57.261163721Z INFO  weather market
2026-09-06T13:18:57.261166401Z INFO  weather market
2026-09-06T13:18:57.261169001Z INFO  weather market
2026-09-06T13:18:57.261344790Z INFO  weather market
2026-09-06T13:18:57.301043504Z INFO  weather market
2026-09-06T13:18:57.497643719Z INFO  weather market
2026-09-06T13:18:57.680728546Z INFO  weather market
2026-09-06T13:19:01.140083025Z INFO  weather cycle
2026-09-06T13:19:01.140086225Z INFO  live cycle
2026-09-06T13:19:21.146985434Z INFO  weather validation
2026-09-06T13:19:21.146988014Z WARN  mmsell: book skipped — tag has no active Experiment OS deployment arm
