# ops request [READ]
# type=db  id=rl-gamecap-keyshape-1
# code 7becc96c3688fb963ba650c731c46c6294e6351f · started 2026-09-05T12:24:11Z
contest            trades  distinct_series  distinct_events  pnl  
-----------------  ------  ---------------  ---------------  -----
26AUG1717          27      8                8                -0.26
26AUG2117          25      6                6                -3.33
26AUG2817          21      4                4                0.42 
26AUG132210MILLAD  17      5                5                1.08 
26AUG24            17      9                9                1.12 
26AUG161920SEAHOU  17      8                8                0.11 
26SEP0417          16      4                4                0.06 
26AUG17            16      7                7                0.02 
26AUG2114          16      2                2                0.01 
26AUG2017          16      4                4                0.07 
26AUG142215COLSF   15      4                4                -0.04
26AUG171940ATLMIN  15      9                9                0.96 
26AUG131605CHCWSH  14      5                5                -0.10
26AUG141420STLCHC  14      5                5                0.92 
26SEP012140PHIAZ   14      6                6                -0.08
26AUG              13      7                7                -1.12
26AUG292207PHILAA  13      6                6                0.85 
26SEP022138NYYLAA  13      6                6                -1.17
26AUG152138KCLAA   13      6                6                0.83 
26SEP021940MILCHC  13      6                6                0.84 
26AUG201835NYYBAL  12      7                7                0.79 
26SEP02AMEMON      12      4                4                -0.22
26AUG3117          12      4                4                0.81 
26AUG142010SEAHOU  12      2                2                -1.22
26SEP022210STLLAD  12      6                6                -5.18

(25 rows)
