# ops request [READ]
# type=db  id=rl-graduation-seed-1
# code 46661a984dc183c0df68f5291df2026ad00e570a · started 2026-09-05T20:30:21Z
series                      classified  settled_markets  markets  pnl    
--------------------------  ----------  ---------------  -------  -------
KXMLBHR                     True        1908             1928     44.19  
KXMLBTOTAL                  True        1881             1893     20.25  
KXMLBSPREAD                 True        1387             1387     119.82 
KXITFMATCH                  True        755              756      48.00  
KXATPCHALLENGERMATCH        True        714              715      -12.62 
KXMLBGAME                   True        624              625      23.87  
KXITFWMATCH                 True        614              614      12.75  
KXBTCD                      True        450              464      -65.43 
KXATPMATCH                  True        438              440      -9.06  
KXMLBTEAMTOTAL              True        414              414      -2.96  
KXWCGOAL                    True        398              411      23.69  
KXNFLSPREAD                 True        382              433      -166.55
KXWTAMATCH                  True        371              375      28.59  
KXWCMENTION                 True        331              331      37.47  
KXWNBASPREAD                True        319              319      34.32  
KXNFLTOTAL                  True        301              309      50.32  
KXMLBKS                     True        292              297      17.32  
KXWNBATOTAL                 True        278              278      8.83   
KXRAIN                      True        207              213      68.20  
KXNCAAFSPREAD               False       204              273      18.15  
KXWCSCORE                   True        197              197      11.45  
KXNCAAFTOTAL                False       184              201      0.02   
KXWCSOA                     True        169              176      24.38  
KXMLBF5TOTAL                True        158              158      0.84   
KXWTI                       True        150              152      -61.80 
KXMLBHIT                    True        142              142      8.31   
KXUFCMOV                    True        137              138      12.78  
KXLOLGAME                   True        136              136      -7.06  
KXBTC                       True        128              128      12.92  
KXWNBAGAME                  True        114              114      20.56  
KXCS2GAME                   True        111              111      -18.08 
KXMLSGAME                   True        108              110      7.10   
KXTRUMPSAY                  True        107              114      65.83  
KXINXU                      True        104              104      34.75  
KXMLSTOTAL                  True        99               99       12.45  
KXGOLDD                     True        97               97       2.28   
KXNASDAQ100U                True        95               95       24.05  
KXLIGAMXGAME                True        92               92       -7.31  
KXCLUBFGAME                 True        92               95       -20.30 
KXT20MATCH                  True        91               92       4.26   
KXWCTEAMTOTAL               True        88               88       -11.01 
KXWCMOV                     True        87               87       -0.42  
KXWC1HSCORE                 True        87               87       2.68   
KXNATGASD                   True        83               83       25.43  
KXCLUBFTOTAL                True        83               83       3.08   
KXLEAGUESCUPTOTAL           True        81               81       15.24  
KXEPLTOTAL                  False       80               80       9.55   
KXATPSETWINNER              True        80               80       10.03  
KXETHD                      True        80               80       -25.93 
KXLEAGUESCUPGAME            True        78               78       -6.47  
KXLEAGUESCUPSCORE           True        78               78       3.51   
KXWCTOTAL                   True        76               76       -13.16 
KXLIGAMXSCORE               True        75               75       8.13   
KXMLBHRR                    True        74               74       -9.34  
KXWNBAPTS                   True        74               77       12.12  
KXWTASETWINNER              True        73               74       6.75   
KXLALIGATOTAL               True        72               73       5.79   
KXRT                        True        72               84       -11.42 
KXPGATOUR                   True        69               69       1.76   
KXATPEXACTMATCH             True        68               68       14.71  
KXLIGAMXTOTAL               True        68               68       10.52  
KXEPLSCORE                  False       66               66       8.01   
KXLALIGAGAME                True        62               66       2.77   
KXAAAGASD                   True        61               61       -5.93  
KXARGPREMDIVGAME            True        61               61       0.04   
KXWCSPREAD                  True        60               60       6.42   
KXNPBGAME                   True        60               62       14.55  
KXWCTCORNERS                True        59               59       -0.64  
KXLEAGUESCUPSPREAD          True        58               58       -16.42 
KXEPLGAME                   True        58               62       3.32   
KXNFLGAME                   True        57               66       -0.59  
KXARGPREMDIVTOTAL           True        50               50       10.34  
KXVALORANTGAME              True        50               50       0.40   
KXUFCFIGHT                  True        50               50       4.71   
KXMLSSCORE                  True        49               49       2.94   
KXLALIGASCORE               True        47               47       0.91   
KXWCGAME                    True        47               47       -1.23  
KXMLBF5                     True        46               46       -1.03  
KXWTIW                      True        45               58       2.64   
KXUCLTOTAL                  True        44               44       6.90   
KXUECLTOTAL                 True        42               42       2.80   
KXNCAAFGAME                 False       42               53       2.12   
KXECULPGAME                 True        42               42       -0.93  
KXBRASILEIROGAME            True        42               42       5.99   
KXLALIGASPREAD              True        41               42       -1.57  
KXODIMATCH                  True        40               40       1.82   
KXAAAGASW                   True        40               47       3.47   
KXALBUMEQUIV                True        38               46       -59.49 
KXWTACHALLENGERMATCH        True        38               38       3.29   
KXMLBF5SPREAD               True        38               38       3.79   
KXDOTA2GAME                 True        38               38       3.32   
KXNBASUMMERGAME             True        38               38       4.52   
KXYTVIEWSW                  True        36               36       19.92  
KXKBOGAME                   True        36               37       -1.73  
KXWC1H                      True        35               35       4.72   
KXKFTOUR                    True        34               34       -0.60  
KXEFLCHAMPIONSHIPGAME       True        34               34       -2.40  
KXMLSSPREAD                 True        34               34       6.33   
KXMLBTB                     True        33               33       -10.33 
KXEPLSPREAD                 False       33               33       5.95   
KXATPGSPREAD                True        33               33       6.20   
