# ops request [READ]
# type=db  id=rl-universe-census-1
# code c4b2ce1d3e8793a8ec72e4e92287554febae7e24 · started 2026-09-05T14:46:25Z
strategy         trades  series_n  unclass_trades  unclass_pct  unclass_series  unclass_pnl
---------------  ------  --------  --------------  -----------  --------------  -----------
weather_con_h14  36      7         36              100.00       7               -0.34      
weather_con_h20  34      7         34              100.00       7               -3.04      
theta4_pt3       103     4         29              28.16        1               3.51       
theta4_pt2       31      4         8               25.81        1               -0.13      
Lmmsell8_pt3     36      5         9               25.00        2               -2.15      
theta4           652     4         148             22.70        1               15.89      
Cmmsell10_pt3    62      34        13              20.97        7               0.96       
Dmmsell10        461     92        93              20.17        20              1.16       
Cmmsell10        1313    181       236             17.97        45              7.29       
Dmmsell10_pt4    419     84        74              17.66        15              2.37       
Lmmsell8         103     6         18              17.48        3               -0.19      
mmsell8          172     6         24              13.95        3               0.46       
mmsell5          4279    141       445             10.40        50              13.54      
Lmmsell10        3145    301       286             9.09         65              3.51       
mmsell6          6014    396       453             7.53         94              6.67       
mmsell9          1899    101       137             7.21         22              4.44       
mmsell7          920     86        62              6.74         18              0.45       
mmsellA4         3474    331       233             6.71         63              2.08       
mmsell           7117    332       472             6.63         82              0.07       
mmsell10         4686    345       293             6.25         67              3.93       
mmsellA5         3114    262       193             6.20         55              5.30       
mmsell10e        283     84        11              3.89         9               -0.28      
mmsell10d        430     102       15              3.49         11              0.01       
mmsell2          1453    190       30              2.06         15              -1.32      
Wmmsell6         856     113       14              1.64         9               -1.10      
mmsell4          1053    170       14              1.33         11              0.25       
Lmmsell10_pt3    167     67        2               1.20         2               -1.63      
mmsell3          1199    186       14              1.17         11              0.25       
mmsell10a_pt2    267     100       3               1.12         3               0.32       
mmsell11         1146    181       11              0.96         9               0.00       
mmsell1          1207    167       11              0.91         10              -1.51      
mmsell10b        970     139       8               0.82         5               0.48       
mmsell10a        1003    147       7               0.70         4               0.44       
mmsellA1         903     145       6               0.66         4               0.15       
Tmmsell4         830     127       5               0.60         4               0.28       
mmsellA3         865     144       5               0.58         4               -0.27      
mmsellA2         879     145       5               0.57         4               -0.01      
mmsell10b_pt3    225     71        1               0.44         1               0.06       
mmsell10a_pt3    234     60        1               0.43         1               0.07       
Tmmsell6         2501    65        0               0.00         0                          

(40 rows; output capped at 40 — refine the query for more)
