# ops request: type='xos'
key                           state        origin      family           version  class                 integrity
----------------------------  -----------  ----------  ---------------  -------  --------------------  ---------
freeze-dark-window-pin        PAPER        operator    structural       v1       ACTIVE_PAPER          B        
live-shape-probe              RETIRED      operator    operational      -        HISTORICAL_UNTRACKED  D        
mmsell11-no-late-entry        RETIRED      operator    maker            -        RETIRED_OR_KILLED     C        
mmsell4-skip-list             RETIRED      operator    maker            -        RETIRED_OR_KILLED     C        
mmsell-anchor-stops           RETIRED      operator    maker            -        RETIRED_OR_KILLED     C        
mmsell-anchor-strangle        PAPER        operator    maker            v1       ACTIVE_PAPER          B        
mmsell-anchor-vol-entry       PAPER        operator    maker            v1       ACTIVE_PAPER          B        
mmsell-first-cohort           RETIRED      operator    maker            -        RETIRED_OR_KILLED     C        
mmsell-maker-offset-ab        RETIRED      operator    maker            -        RETIRED_OR_KILLED     C        
mmsell-price-ceiling          PAPER        operator    maker            v1       ACTIVE_PAPER          B        
mmsell-scan-depth             RETIRED      operator    maker            -        RETIRED_OR_KILLED     C        
mmsell-scheduled-settle-live  LIVE_CANARY  operator    maker            v1       ACTIVE_LIVE           B        
mmsell-type-tight             PAPER        operator    maker            v1       ACTIVE_PAPER          B        
mmsell-type-tight-retired     RETIRED      operator    maker            -        RETIRED_OR_KILLED     C        
mmsell-type-wide              RETIRED      operator    maker            -        RETIRED_OR_KILLED     C        
mmsell-variants-2026-07       PAPER        operator    maker            v1       ACTIVE_PAPER          B        
mmsell-wide-control           PAPER        operator    maker            v1       ACTIVE_PAPER          B        
origin-scanner-books          RETIRED      operator    scanner          -        HISTORICAL_UNTRACKED  D        
pin15                         RETIRED      operator    observation_pin  -        RETIRED_OR_KILLED     C        
tfav                          RETIRED      operator    favorite_buy     -        RETIRED_OR_KILLED     C        
theta4-fat-tail               LIVE_CANARY  operator    theta            v1       ACTIVE_LIVE           B        
theta-tail-sell               PAUSED       operator    theta            -        ACTIVE_PAPER          C        
wcprop                        RETIRED      operator    structural       -        RETIRED_OR_KILLED     C        
weather-consensus             RETIRED      operator    forecast         -        RETIRED_OR_KILLED     C        
weather-consensus-city        RETIRED      operator    forecast         -        RETIRED_OR_KILLED     C        
weather-legacy-cells          RETIRED      operator    forecast         -        RETIRED_OR_KILLED     D        
xgame                         RETIRED      idea_model  cross_venue      -        RETIRED_OR_KILLED     C        
