# ops request [READ]
# type=db  id=scorecard-splitkey-2
# code 2225d7ada52307ea069e169af7c116951564478a · started 2026-09-07T22:34:46Z
row                                          
---------------------------------------------
KXA100WS|26|4|2|0|2|0                        
KXAAAGASD|265|63|22|5|22|5                   
KXAAAGASDOH|1|1|1|0|1|0                      
KXAAAGASM|101|19|2|1|2|1                     
KXAAAGASW|229|47|9|2|9|2                     
KXAAAGASWNJ|2|2|1|0|1|0                      
KXACTBLUETOP|2|1|1|0|1|0                     
KXAFCCLTOTAL|12|6|3|0|3|0                    
KXAFLGAME|11|4|3|1|3|1                       
KXALBUMEQUIV|311|47|11|4|11|4                
KXALLSVENSKANGAME|71|23|13|4|13|4            
KXALLSVENSKANSPREAD|50|7|3|0|3|0             
KXALLSVENSKANTOTAL|128|33|17|2|17|2          
KXAMZNCC|7|5|1|1|1|1                         
KXANTHSHARE|4|2|1|0|1|0                      
KXAPFDDHGAME|31|13|9|2|9|2                   
KXAPFDDHSPREAD|7|2|1|0|1|0                   
KXAPFDDHTOTAL|54|20|10|1|10|1                
KXAPRPOTUS|56|13|4|0|4|0                     
KXAPRPOTUSD|11|9|3|1|3|1                     
KXARGNACBBTTS|3|1|1|0|1|0                    
KXARGNACBGAME|30|9|6|2|6|2                   
KXARGNACBTOTAL|19|4|2|0|2|0                  
KXARGPREMDIVGAME|146|65|36|9|36|9            
KXARGPREMDIVSPREAD|1|1|1|0|1|0               
KXARGPREMDIVTOTAL|176|52|31|2|31|2           
KXARMOMINF|28|4|1|1|1|1                      
KXASEANGAME|9|8|4|0|4|0                      
KXASEANSPREAD|4|1|1|0|1|0                    
KXASEANTOTAL|41|14|5|1|5|1                   
KXATPADVANCE|1|1|1|0|1|0                     
KXATPCHALLENGERDOUBLES|1|1|1|0|1|0           
KXATPCHALLENGERMATCH|1661|805|646|177|646|177
KXATPDOUBLES|57|19|17|5|17|5                 
KXATPEXACTMATCH|276|85|33|7|33|7             
KXATPGSPREAD|85|40|28|1|28|1                 
KXATPGTOTAL|77|29|15|3|15|3                  
KXATPMATCH|960|456|360|106|360|106           
KXATPSETWINNER|178|91|61|13|61|13            
KXAVGTKAUS|5|1|1|0|1|0                       
KXAVGTKOKC|1|1|1|0|1|0                       
KXB200WS|35|10|3|1|3|1                       
KXBELGIANPLGAME|41|12|9|3|9|3                
KXBELGIANPLTOTAL|69|13|6|0|6|0               
KXBIGBROTHERELIMINATION|78|19|4|3|4|3        
KXBILLBOARDRUNNERUPSONG|11|4|1|0|1|0         
KXBKNUGGETS|13|6|1|0|1|0                     
KXBNBMINMON|12|4|1|0|1|0                     
KXBOLPDIVGAME|1|1|1|0|1|0                    
KXBOXING|53|16|13|1|13|1                     
KXBRASILEIROBGAME|23|6|5|1|5|1               
KXBRASILEIROBTOTAL|22|14|9|1|9|1             
KXBRASILEIROCGAME|11|4|2|1|2|1               
KXBRASILEIROCTOTAL|12|3|2|0|2|0              
KXBRASILEIROGAME|109|50|28|5|28|5            
KXBRASILEIROSPREAD|5|3|2|1|2|1               
KXBRASILEIROTOTAL|149|37|23|3|23|3           
KXBRENTD|121|28|7|1|7|1                      
KXBRENTMON|32|10|1|0|1|0                     
KXBRENTW|153|20|4|0|4|0                      
KXBTC|813|128|13|6|13|6                      
KXBTCD|2851|469|58|16|58|16                  
KXBTCMAXMON|84|16|1|1|1|1                    
KXBTCMINMON|16|2|1|0|1|0                     
KXBUNDESLIGA2GAME|30|11|9|1|9|1              
KXBUNDESLIGA2TOTAL|10|8|6|0|6|0              
KXBUNDESLIGAGAME|53|19|11|3|11|3             
KXBUNDESLIGASPREAD|6|2|2|0|2|0               
KXBUNDESLIGATOTAL|42|15|12|1|12|1            
KXCBDISRAEL|3|1|1|1|1|1                      
KXCFLGAME|12|4|4|0|4|0                       
KXCFLSPREAD|12|10|2|0|2|0                    
KXCHAMPTOUR|46|23|3|1|3|1                    
KXCHESSTOURNAMENT|15|6|1|0|1|0               
KXCHINAAI|8|4|3|0|3|0                        
KXCHLLDPGAME|36|10|7|2|7|2                   
KXCHLLDPTOTAL|29|10|6|1|6|1                  
KXCHNSLGAME|39|20|13|5|13|5                  
KXCHNSLSPREAD|25|5|4|1|4|1                   
KXCHNSLTOTAL|59|25|14|2|14|2                 
KXCLARITYVOTE|22|2|1|0|1|0                   
KXCLAUDE|2|1|1|0|1|0                         
KXCLUBFBTTS|1|1|1|0|1|0                      
KXCLUBFGAME|330|92|53|12|53|12               
KXCLUBFSPREAD|68|27|15|2|15|2                
KXCLUBFTOTAL|295|83|39|7|39|7                
KXCOACHOUTNCAAFB|1|1|1|0|1|0                 
KXCOD|21|3|1|0|1|0                           
KXCODGAME|26|6|5|2|5|2                       
KXCONMEBOLLIB1HTOTAL|3|2|2|0|2|0             
KXCONMEBOLLIBGAME|10|6|3|1|3|1               
KXCONMEBOLLIBSPREAD|3|2|2|0|2|0              
KXCONMEBOLLIBTOTAL|39|18|11|0|11|0           
KXCONMEBOLSUD1H|4|1|1|0|1|0                  
KXCONMEBOLSUDGAME|27|9|6|0|6|0               
KXCONMEBOLSUDSPREAD|14|4|3|0|3|0             
KXCONMEBOLSUDTOTAL|67|22|12|1|12|1           
KXCOPADOBRASILTOTAL|12|4|3|0|3|0             
KXCOPPAITALIA1HTOTAL|4|2|1|1|1|1             
KXCOPPAITALIAGAME|12|4|3|0|3|0               
KXCOPPAITALIATOTAL|74|18|8|1|8|1             
KXCOPPERD|113|25|6|0|6|0                     
KXCOPPERW|8|4|2|1|2|1                        
KXCPI|22|3|1|0|1|0                           
KXCPICOMBO|61|7|1|0|1|0                      
KXCPICORE|16|4|1|0|1|0                       
KXCPICOREYOY|37|5|1|0|1|0                    
KXCPINDEX|25|6|1|0|1|0                       
KXCPIYOY|36|6|2|0|2|0                        
KXCPLMATCH|83|36|23|7|23|7                   
KXCS2GAME|220|113|88|27|88|27                
KXCS2MAP|48|21|17|2|17|2                     
KXCZEFLGAME|20|6|5|0|5|0                     
KXCZEFLTOTAL|8|4|3|0|3|0                     
KXCZEFNLTOTAL|11|5|3|0|3|0                   
KXDEEPSHARE|4|2|1|0|1|0                      
KXDENSUPERLIGAGAME|27|13|8|0|8|0             
KXDENSUPERLIGATOTAL|46|12|7|0|7|0            
KXDFBPOKALGAME|1|1|1|0|1|0                   
KXDFBPOKALTOTAL|4|4|1|0|1|0                  
KXDIAZOUT|5|1|1|0|1|0                        
KXDIESELD|27|10|5|1|5|1                      
KXDIESELW|13|3|2|1|2|1                       
KXDIMAYORGAME|72|28|15|2|15|2                
KXDIMAYORTOTAL|62|14|8|2|8|2                 
KXDOTA2|6|3|1|1|1|1                          
KXDOTA2GAME|60|39|32|7|32|7                  
KXDOTA2MAP|12|11|8|0|8|0                     
KXDPWORLDTOUR|156|43|5|3|5|3                 
KXDROPOUTPRIMARY|31|2|1|0|1|0                
KXEARTHQUAKEM|14|3|1|1|1|1                   
KXECONSTATCORECPIYOY|35|4|1|0|1|0            
KXECONSTATCPI|44|5|1|0|1|0                   
KXECONSTATCPICORE|7|2|1|0|1|0                
KXECONSTATCPIYOY|44|9|2|0|2|0                
KXECULPGAME|107|46|28|11|28|11               
KXECULPSPREAD|13|5|3|1|3|1                   
KXECULPTOTAL|135|32|20|2|20|2                
KXEERSTEDIVGAME|2|2|1|0|1|0                  
KXEERSTEDIVTOTAL|2|2|1|1|1|1                 
KXEFLCHAMPIONSHIPGAME|106|36|26|5|26|5       
KXEFLCHAMPIONSHIPSPREAD|9|2|2|0|2|0          
KXEFLCHAMPIONSHIPTOTAL|69|23|13|1|13|1       
KXEFLCUPBTTS|1|1|1|0|1|0                     
KXEFLCUPGAME|2|1|1|0|1|0                     
KXEFLCUPTOTAL|17|3|1|1|1|1                   
KXEFLL1GAME|6|3|2|0|2|0                      
KXEFLL1TOTAL|7|2|2|0|2|0                     
KXEGYPLGAME|53|27|14|4|14|4                  
KXEGYPLTOTAL|50|20|10|0|10|0                 
KXEKSTRAKLASAGAME|9|4|3|0|3|0                
KXEKSTRAKLASATOTAL|3|2|1|0|1|0               
KXELITESERIENGAME|18|7|5|1|5|1               
KXELITESERIENSPREAD|14|1|1|0|1|0             
KXELITESERIENTOTAL|53|9|4|0|4|0              
KXENGCSBTTS|1|1|1|0|1|0                      
KXENGCSGAME|6|3|1|0|1|0                      
KXENGCSSCORE|30|13|1|0|1|0                   
KXENGCSSPREAD|6|2|1|0|1|0                    
KXENGCSTOTAL|11|4|1|0|1|0                    
KXENGNLGAME|9|3|1|0|1|0                      
KXEPL1H|12|5|5|0|5|0                         
KXEPL1HTOTAL|7|4|4|0|4|0                     
KXEPLBTTS|3|1|1|0|1|0                        
KXEPLGAME|102|63|27|10|27|10                 
KXEPLGOAL|15|3|1|0|1|0                       
KXEPLSCORE|242|81|15|3|15|3                  
KXEPLSPREAD|136|39|17|3|17|3                 
KXEPLTEAMTOTAL|15|6|4|0|4|0                  
KXEPLTOTAL|240|89|26|7|26|7                  
KXEREDIVISIEGAME|57|14|11|0|11|0             
KXEREDIVISIESPREAD|11|3|1|0|1|0              
KXEREDIVISIETOTAL|85|18|13|0|13|0            
KXETH|103|20|9|0|9|0                         
KXETHD|413|82|21|3|21|3                      
KXETHMAXMON|41|5|1|1|1|1                     
KXEURUSD|9|6|2|0|2|0                         
KXEURUSDAW|12|6|2|0|2|0                      
KXEWSLGAME|18|4|2|1|2|1                      
KXFDAANNOUNCE|5|1|1|0|1|0                    
KXFED|8|1|1|0|1|0                            
KXFEDDECISION|8|1|1|0|1|0                    
KXFEDMENTION|159|27|1|0|27|1                 
KXFIBAGAME|28|13|10|3|10|3                   
KXFIBATOTAL|4|3|1|0|1|0                      
