# ops request [READ]
# type=db  id=silentarm-fp-1
# actor=claude-research-lab  purpose=false-positive check for the armed-but-silent detector across all active deployment arms
# code 83d3500f319f0073522dcc4b8dc48e2c553455db · started 2026-09-06T04:03:58Z
experiment                     state        deployment_key                    kind        started_at                        arm_key           role       strategy_tag   entries_since_armed  hours_armed
-----------------------------  -----------  --------------------------------  ----------  --------------------------------  ----------------  ---------  -------------  -------------------  -----------
freeze-dark-window-pin         PAPER        freeze-paper-legacy-1             paper       2026-08-13 00:00:00+00:00         freeze1           treatment  freeze1        0                    580.1      
freeze-dark-window-pin         PAPER        freeze-paper-legacy-1             paper       2026-08-13 00:00:00+00:00         freeze2           secondary  freeze2        0                    580.1      
freeze-dark-window-pin         PAPER        freeze-paper-legacy-1             paper       2026-08-13 00:00:00+00:00         freeze3           control    freeze3        0                    580.1      
freeze-dark-window-pin         PAPER        freeze-paper-legacy-1             paper       2026-08-13 00:00:00+00:00         freeze4           secondary  freeze4        0                    580.1      
mmsell-anchor-strangle         PAPER        mmsellA5-paper-legacy-1           paper       2026-07-30 00:00:00+00:00         strangle          treatment  mmsellA5       3267                 916.1      
mmsell-anchor-vol-entry        PAPER        mmsellA4-paper-legacy-1           paper       2026-07-30 00:00:00+00:00         vol_entry_gate    treatment  mmsellA4       3683                 916.1      
mmsell-correlation-cap         PAPER        mmsell-corrcap-paper-1            paper       2026-09-05 13:57:08.116743+00:00  contest_capped    treatment  Gmmsell1       45                   14.1       
mmsell-correlation-cap         PAPER        mmsell-corrcap-paper-1            paper       2026-09-05 13:57:08.116743+00:00  uncapped          control    Gmmsell0       60                   14.1       
mmsell-correlation-cap         PAPER        mmsell-corrcap-probe-1            probe       2026-09-05 13:57:08.116743+00:00  contest_capped    treatment                 0                    14.1       
mmsell-correlation-cap         PAPER        mmsell-corrcap-probe-1            probe       2026-09-05 13:57:08.116743+00:00  uncapped          control                   0                    14.1       
mmsell-price-ceiling           LIVE_CANARY  mmsell-ceiling-live-1             live        2026-08-28 14:20:35.572574+00:00  mmsell10          treatment  Cmmsell10      1533                 205.7      
mmsell-price-ceiling           LIVE_CANARY  mmsell-ceiling-twin-1             paper_twin  2026-08-28 14:20:35.572574+00:00  mmsell10          treatment  Cmmsell10_pt3  62                   205.7      
mmsell-price-ceiling-capacity  LIVE_CANARY  mmsell-capacity-live-1            live        2026-09-02 11:36:01.622711+00:00  mmsell10          treatment  Dmmsell10      682                  88.5       
mmsell-price-ceiling-capacity  LIVE_CANARY  mmsell-capacity-paper-1-e1-e1-e2  paper       2026-09-02 11:36:01.622711+00:00  mmsell10          treatment  mmsell10       616                  88.5       
mmsell-price-ceiling-capacity  LIVE_CANARY  mmsell-capacity-twin-1            paper_twin  2026-09-02 11:36:01.622711+00:00  mmsell10          treatment  Dmmsell10_pt4  419                  88.5       
mmsell-scheduled-settle-live   LIVE_CANARY  lmmsell-live-1                    live        2026-08-15 12:56:54.393462+00:00  price_ceiling     control    Lmmsell10      3339                 519.1      
mmsell-scheduled-settle-live   LIVE_CANARY  lmmsell-live-1                    live        2026-08-15 12:56:54.393462+00:00  scheduled_settle  treatment  Lmmsell8       101                  519.1      
mmsell-scheduled-settle-live   LIVE_CANARY  lmmsell-twin-pt3                  paper_twin  2026-08-15 12:56:54.393462+00:00  price_ceiling     control    Lmmsell10_pt3  167                  519.1      
mmsell-scheduled-settle-live   LIVE_CANARY  lmmsell-twin-pt3                  paper_twin  2026-08-15 12:56:54.393462+00:00  scheduled_settle  treatment  Lmmsell8_pt3   36                   519.1      
mmsell-type-tight              PAPER        tmmsell-paper-legacy-1-e2         paper       2026-08-24 14:21:17.571842+00:00  Tmmsell1          secondary  Tmmsell1       119                  301.7      
mmsell-type-tight              PAPER        tmmsell-paper-legacy-1-e2         paper       2026-08-24 14:21:17.571842+00:00  Tmmsell2          secondary  Tmmsell2       11                   301.7      
mmsell-type-tight              PAPER        tmmsell-paper-legacy-1-e2         paper       2026-08-24 14:21:17.571842+00:00  Tmmsell5          secondary  Tmmsell5       151                  301.7      
mmsell-type-tight              PAPER        tmmsell-paper-legacy-1-e2         paper       2026-08-24 14:21:17.571842+00:00  Tmmsell6          secondary  Tmmsell6       672                  301.7      
mmsell-variants-2026-07        PAPER        mmsell-variants-paper-legacy-1    paper       2026-07-15 00:00:00+00:00         mmsell5           secondary  mmsell5        4709                 1276.1     
mmsell-variants-2026-07        PAPER        mmsell-variants-paper-legacy-1    paper       2026-07-15 00:00:00+00:00         mmsell6           secondary  mmsell6        6916                 1276.1     
mmsell-variants-2026-07        PAPER        mmsell-variants-paper-legacy-1    paper       2026-07-15 00:00:00+00:00         mmsell7           secondary  mmsell7        1061                 1276.1     
mmsell-variants-2026-07        PAPER        mmsell-variants-paper-legacy-1    paper       2026-07-15 00:00:00+00:00         mmsell8           secondary  mmsell8        255                  1276.1     
mmsell-wide-control            PAPER        mmsell-control-paper-legacy-1     paper       2026-08-16 14:14:43.720928+00:00  mmsell            control    mmsell         4818                 493.8      
theta4-fat-tail                LIVE_CANARY  theta4-live-1                     live        2026-07-30 00:00:00+00:00         theta4            treatment  theta4         684                  916.1      
theta4-fat-tail                LIVE_CANARY  theta4-twin-pt3                   paper_twin  2026-08-12 00:15:08.786610+00:00  theta4            treatment  theta4_pt3     103                  603.8      

(30 rows)
