# ops request [READ]
# type=script  id=srr-batch4-0910a
# code 55c071983a3d01bfa62b5df04e33f72eeba13b2c · started 2026-09-10T15:28:36Z
# SERIES REGISTRY REVIEW
# window: all time | manifest rows: 138 (graduated=138) | observed series: 4398
# live exposure measured over the last 30 days of live_orders.
# A REPORT, NOT A GATE: nothing here graduates, bars or promotes anything.

## BACKLOG — graduated, settlement rules never reviewed (123; 96 traded by a live book)
  series                   live   orders  settled     pnl($)  books
  KXNFLSPREAD              LIVE      125     1519    -148.65     28
  KXMLBHR                  LIVE      355    10301      62.25     32
  KXWTI                    LIVE       30      838     -59.54     32
  KXALBUMEQUIV             LIVE       15      311     -51.13     27
  KXAAAGASD                LIVE        8      333     -31.61     29
  KXBTCD                   LIVE       82     3517     -25.50     41
  KXYTVIEWSW               LIVE        2      193      23.84     24
  KXBTC                    LIVE       42     1730      21.91     31
  KXETHD                   LIVE       30      589     -21.68     38
  KXTRUTHSOCIAL            LIVE        2      208     -20.57     28
  KXCLUBFGAME              LIVE       17      330     -17.38     18
  KXMLBTB                  LIVE        1      123     -16.22     22
  KXCS2GAME                LIVE       10      237     -15.91     18
  KXMLBTOTAL               LIVE       95     5930      15.57     28
  KXLEAGUESCUPSPREAD       LIVE        5      325     -15.18     25
  KXNPBGAME                LIVE       10      174      14.84     22
  KXUFCMOV                 LIVE       10      449      14.50     23
  KXATPMATCH               LIVE       13      987     -14.44     24
  KXFEDMENTION             LIVE        6      159      13.11      9
  KXBRENTW                 LIVE       10      153      13.07     27
  KXMLBKS                  LIVE       39     1149      13.06     27
  KXUCLTOTAL               LIVE       11      272      12.26     25
  KXLIGAMXTOTAL            LIVE        4      200      11.68     17
  KXRT                     LIVE       26      463     -11.04     29
  KXWTACHALLENGERMATCH     LIVE       11      215     -10.96     14
  KXMLSGAME                LIVE        8      317      10.93     17
  KXTESTMATCH              LIVE        6      115     -10.92     19
  KXARGPREMDIVTOTAL        LIVE        5      188      10.71     25
  KXLIGAMXSCORE            LIVE        4      203      10.41      9
  KXCOPPERD                LIVE        5      127       9.09     24
  KXWNBATOTAL              LIVE       17      849       8.92     24
  KXUCLGAME                LIVE       20      131       8.11     23
  KXMLBHIT                 LIVE        1      561       7.93     23
  KXWTASETWINNER           LIVE        2      199       7.52     22
  KXYTVIEWSHIGH            LIVE        6       62      -7.24      8
  KXLIGAMXSPREAD           LIVE        3      115       6.88     10
  KXLEAGUESCUPGAME         LIVE        5      238      -6.70     19
  KXECULPTOTAL             LIVE        2      138       6.65     24
  KXBRENTD                 LIVE       11      150       6.26     24
  KXALLSVENSKANGAME        LIVE        1       71      -6.18     16
  ... 83 more (raise --top)
  -> These trade live TODAY. The row is the debt, not a bar: retire it by reading
     the series' settlement rules and setting rules_reviewed_at in the manifest.
