# ops request [READ]
# type=script  id=srr-batch5-0910a
# code 783bf87e663e23d12495063f3fa74a2b91211c49 · started 2026-09-10T17:51:53Z
# SERIES REGISTRY REVIEW
# window: all time | manifest rows: 138 (graduated=138) | observed series: 4403
# live exposure measured over the last 30 days of live_orders.
# A REPORT, NOT A GATE: nothing here graduates, bars or promotes anything.

## BACKLOG — graduated, settlement rules never reviewed (118; 91 traded by a live book)
  series                   live   orders  settled     pnl($)  books
  KXNFLSPREAD              LIVE      125     1519    -148.65     28
  KXMLBHR                  LIVE      355    10301      62.25     32
  KXWTI                    LIVE       29      838     -59.54     32
  KXALBUMEQUIV             LIVE       15      311     -51.13     27
  KXAAAGASD                LIVE        7      333     -31.61     29
  KXBTCD                   LIVE       80     3517     -25.50     41
  KXYTVIEWSW               LIVE        2      193      23.84     24
  KXBTC                    LIVE       38     1730      21.91     31
  KXETHD                   LIVE       28      589     -21.68     38
  KXTRUTHSOCIAL            LIVE        2      208     -20.57     28
  KXCLUBFGAME              LIVE       17      330     -17.38     18
  KXMLBTB                  LIVE        1      123     -16.22     22
  KXMLBTOTAL               LIVE       95     5930      15.57     28
  KXCS2GAME                LIVE       10      244     -15.50     21
  KXLEAGUESCUPSPREAD       LIVE        5      325     -15.18     25
  KXATPMATCH               LIVE       12      987     -14.44     24
  KXBRENTW                 LIVE        9      153      13.07     27
  KXMLBKS                  LIVE       39     1149      13.06     27
  KXRT                     LIVE       26      463     -11.04     29
  KXWTACHALLENGERMATCH     LIVE       11      215     -10.96     14
  KXMLSGAME                LIVE        8      317      10.93     17
  KXTESTMATCH              LIVE        6      115     -10.92     19
  KXARGPREMDIVTOTAL        LIVE        5      188      10.71     25
  KXLIGAMXSCORE            LIVE        4      203      10.41      9
  KXCOPPERD                LIVE        3      127       9.09     24
  KXWNBATOTAL              LIVE       17      849       8.92     24
  KXUCLGAME                LIVE       20      131       8.11     23
  KXMLBHIT                 LIVE        1      561       7.93     23
  KXWTASETWINNER           LIVE        1      199       7.52     22
  KXYTVIEWSHIGH            LIVE        6       62      -7.24      8
  KXLIGAMXSPREAD           LIVE        3      115       6.88     10
  KXLEAGUESCUPGAME         LIVE        5      238      -6.70     19
  KXECULPTOTAL             LIVE        2      138       6.65     24
  KXBRENTD                 LIVE       11      150       6.26     24
  KXALLSVENSKANGAME        LIVE        1       71      -6.18     16
  KXLPGATOUR               LIVE        3       73       6.02     12
  ... 82 more (raise --top)
  -> These trade live TODAY. The row is the debt, not a bar: retire it by reading
     the series' settlement rules and setting rules_reviewed_at in the manifest.
