# latest deployment 6ef8cd6c-6373-404f-a09a-120a9ddc6510 (status=SUCCESS, created=2026-09-04T16:15:17.131Z)
# ops request [READ]
# type=logs  service=livedash  id=stage-read-1
# code c99e8a033ea76a5eb2efe5bca4626e3b5a526efd · started 2026-09-04T16:18:33Z
# target service: livedash
2026-09-04T16:16:06.861992999Z INFO  Starting Container
2026-09-04T16:16:07.046655715Z INFO  livedash listening on http://0.0.0.0:8080
2026-09-04T16:17:37.176341206Z INFO  livedash "GET /healthz HTTP/1.1" 200 -
2026-09-04T16:17:37.176344366Z INFO  livedash timing /healthz sent 0ms 2B
2026-09-04T16:17:37.176346896Z INFO  livedash "GET / HTTP/1.1" 200 -
2026-09-04T16:17:37.176349276Z INFO  livedash timing / sent 1ms 60430B
2026-09-04T16:17:37.176351776Z INFO  livedash stages build_runs summaries=False total=253ms list_pairs=252ms rows[16]=0ms
2026-09-04T16:17:37.176354166Z INFO  livedash "GET /api/runs?view=selector HTTP/1.1" 200 -
2026-09-04T16:17:37.176356446Z INFO  livedash timing /api/runs sent 272ms 10940B
2026-09-04T16:17:37.176359056Z INFO  livedash stages build_run Dmmsell10_pt4 total=762ms marks[latest]=236ms live_leg=156ms gates=102ms paper_leg=91ms status=75ms market_tags=66ms get_pair=34ms discrepancies=1ms compare_legs=0ms decompose=0ms incumbent=0ms
2026-09-04T16:17:37.176361826Z INFO  livedash "GET /api/runs/Dmmsell10_pt4 HTTP/1.1" 200 -
2026-09-04T16:17:37.176364406Z INFO  livedash timing /api/runs/Dmmsell10_pt4 sent 804ms 533680B
2026-09-04T16:17:37.176448225Z ERROR  livedash request failed: /api/runs/Dmmsell10_pt4/series
2026-09-04T16:17:37.176547365Z INFO  livedash "GET /api/runs/Dmmsell10_pt4/series HTTP/1.1" 503 -
2026-09-04T16:17:37.176549765Z INFO  livedash timing /api/runs/Dmmsell10_pt4/series sent 170ms 98B
2026-09-04T16:17:37.176552825Z INFO  livedash "GET /api/runs/Dmmsell10_pt4/orders?offset=0&limit=100 HTTP/1.1" 200 -
2026-09-04T16:17:37.176555355Z INFO  livedash timing /api/runs/Dmmsell10_pt4/orders sent 206ms 71094B
2026-09-04T16:17:37.176558065Z INFO  livedash "GET /api/runs/Dmmsell10_pt4/events?category=all&limit=50 HTTP/1.1" 200 -
2026-09-04T16:17:37.176560834Z INFO  livedash timing /api/runs/Dmmsell10_pt4/events sent 733ms 23172B
2026-09-04T16:17:41.975901310Z INFO  livedash stages build_runs summaries=True total=5293ms rows[16]=5189ms unpaired=59ms list_pairs=44ms
2026-09-04T16:17:41.975906310Z INFO  livedash "GET /api/runs HTTP/1.1" 200 -
2026-09-04T16:17:41.993916907Z WARN  livedash timing /api/runs sent 5311ms 21308B
