# ops request [READ]
# type=db  id=storage-1
# code 7becc96c3688fb963ba650c731c46c6294e6351f · started 2026-09-05T11:43:40Z
table_name                 total    heap     indexes  est_rows  pct 
-------------------------  -------  -------  -------  --------  ----
crypto_ladder_snapshots    1021 MB  685 MB   336 MB   3353857   22.7
mmsell_position_ticks      835 MB   394 MB   440 MB   3750904   18.6
game_tape_snapshots        386 MB   197 MB   189 MB   1071640   8.6 
backfill_regime_candles    324 MB   173 MB   151 MB   1290419   7.2 
weather_bucket_snapshots   296 MB   231 MB   66 MB    1360284   6.6 
weather_forecasts          242 MB   147 MB   95 MB    796757    5.4 
positions                  236 MB   184 MB   52 MB    457177    5.3 
weather_forecast_outcomes  223 MB   196 MB   27 MB    172503    5.0 
polymarket_snapshots       123 MB   70 MB    52 MB    562749    2.7 
mmsell_candidate_ticks     101 MB   64 MB    37 MB    325602    2.2 
weather_ensembles          100 MB   93 MB    7480 kB  133476    2.2 
backfill_weather_candles   99 MB    56 MB    43 MB    404373    2.2 
crypto_spot_candles        64 MB    24 MB    40 MB    287954    1.4 
perp_market_snapshots      49 MB    46 MB    2680 kB  28350     1.1 
market_snapshots           44 MB    41 MB    2328 kB  22290     1.0 
evo_search_trades          35 MB    28 MB    7896 kB  135525    0.8 
orderbook_snapshots        31 MB    29 MB    2328 kB  22590     0.7 
evo_sandbox_runs           28 MB    12 MB    1800 kB  13445     0.6 
paper_trades               25 MB    21 MB    4504 kB  78999     0.6 
perp_orderbook_snapshots   22 MB    16 MB    1512 kB  15852     0.5 
paper_positions            20 MB    14 MB    6216 kB  82183     0.4 
evo_memories               20 MB    8080 kB  2832 kB  10870     0.4 
evo_opportunities          19 MB    9728 kB  9440 kB  31413     0.4 
live_order_queue_ticks     18 MB    12 MB    6016 kB  34598     0.4 
mmsell_settlement_meta     18 MB    8744 kB  9656 kB  66465     0.4 
backfill_regime_markets    18 MB    8816 kB  9088 kB  34853     0.4 
evo_heartbeats             8984 kB  6216 kB  2056 kB  6616      0.2 
live_paper_parity_events   8472 kB  4408 kB  4032 kB  21923     0.2 
bot_runs                   8216 kB  6528 kB  1648 kB  72194     0.2 
weather_observations       8160 kB  5264 kB  2864 kB  50778     0.2 

(30 rows)
