# ops request [READ]
# type=db  id=storage-age-2
# code 7becc96c3688fb963ba650c731c46c6294e6351f · started 2026-09-05T11:45:19Z
tbl                        oldest                            newest                          
-------------------------  --------------------------------  --------------------------------
crypto_ladder_snapshots    2026-07-03 21:35:32.575773+00:00  2026-09-05 11:42:10.139344+00:00
mmsell_position_ticks      2026-07-21 14:39:28.020089+00:00  2026-09-05 11:44:20.459513+00:00
game_tape_snapshots        2026-07-05 18:32:33.546723+00:00  2026-07-19 22:28:58.042875+00:00
backfill_regime_candles    2026-08-02 21:00:00+00:00         2026-09-04 03:00:00+00:00       
weather_bucket_snapshots   2026-06-10 23:49:24.638235+00:00  2026-09-05 11:39:40.662956+00:00
weather_forecasts          2026-06-08 14:07:21.390617+00:00  2026-09-05 11:44:21.741387+00:00
positions                  2026-06-14 04:14:18.806660+00:00  2026-09-05 11:44:53.667188+00:00
weather_forecast_outcomes  2026-06-15 05:00:49.695093+00:00  2026-09-04 06:56:28.592710+00:00
polymarket_snapshots       2026-06-12 12:17:49.307938+00:00  2026-09-05 11:39:39.701253+00:00
mmsell_candidate_ticks     2026-07-23 04:29:21.958976+00:00  2026-09-05 11:41:02.895151+00:00
weather_ensembles          2026-06-10 23:49:24.623488+00:00  2026-09-05 11:39:40.657066+00:00
backfill_weather_candles   2026-06-09 15:00:00+00:00         2026-09-04 06:00:00+00:00       
crypto_spot_candles        2026-08-17 17:22:00+00:00         2026-09-05 07:57:00+00:00       

(13 rows)
