# ops request [READ]
# type=db  id=subject-shapes
# code 2225d7ada52307ea069e169af7c116951564478a · started 2026-09-07T21:56:04Z
series             mkts  seg2n  seg3n  ex1                             ex2                           
-----------------  ----  -----  -----  ------------------------------  ------------------------------
KXEARTHQUAKEM      3     1      3      KXEARTHQUAKEM-26AUG-78          KXEARTHQUAKEM-26AUG-80        
KXFEDMENTION       34    2      28     KXFEDMENTION-26JUL-ADP          KXFEDMENTION-26SEP-TRUM       
KXGOOGSHARE        2     1      2      KXGOOGSHARE-GOOG-23             KXGOOGSHARE-GOOG-25           
KXHMONTH           1     1      1      KXHMONTH-26JUL                  KXHMONTH-26JUL                
KXRAIN             228   28     22     KXRAIN-26AUG08-ATL              KXRAIN-26SEP07-SEA            
KXSPACEXCOUNT      4     2      3      KXSPACEXCOUNT-26AUG-12          KXSPACEXCOUNT-26JUL-14        
KXTRUMPACT         2     1      2      KXTRUMPACT-26AUG09-T7           KXTRUMPACT-26AUG09-T9         
KXTRUMPSAY         119   10     37     KXTRUMPSAY-26AUG03-AMER         KXTRUMPSAY-26SEP07-ZOHR       
KXTRUMPSAYCOMPANY  12    2      10     KXTRUMPSAYCOMPANY-26AUG01-ANTH  KXTRUMPSAYCOMPANY-26SEP01-VERI
KXTRUMPSAYMONTH    18    2      14     KXTRUMPSAYMONTH-26AUG01-AUTI    KXTRUMPSAYMONTH-26SEP01-UFO   
KXTRUTHSOCIAL      26    5      8      KXTRUTHSOCIAL-26AUG08-B230      KXTRUTHSOCIAL-26SEP05-T240    
KXWCATTEND         12    1      12     KXWCATTEND-26JUL20-BRA          KXWCATTEND-26JUL20-ZEN        
KXWCFIRSTSONG      5     1      5      KXWCFIRSTSONG-26JUL20-DAI       KXWCFIRSTSONG-26JUL20-VOG     
KXWCMENTION        331   19     70     KXWCMENTION-26JUL03ARGCPV-BICY  KXWCMENTION-MENWORLDCUP-ZOHR  
KXYTVIEWSHIGH      21    4      18     KXYTVIEWSHIGH-ARI26SEP-22.0M    KXYTVIEWSHIGH-TAY26SEP-17.0M  
KXYTVIEWSW         46    16     33     KXYTVIEWSW-ARI26AUG09-21.0M     KXYTVIEWSW-YOU26AUG09-9.0M    

(16 rows)
