# ops request [READ]
# type=db  id=ticker-shape
# code 2225d7ada52307ea069e169af7c116951564478a · started 2026-09-07T18:20:34Z
series        mkts  distinct_seg2  distinct_seg3  example_a                                     example_b                              
------------  ----  -------------  -------------  --------------------------------------------  ---------------------------------------
KXALBUMEQUIV  47    11             33             KXALBUMEQUIV-CHU26AUG13-40K                   KXALBUMEQUIV-WILD26AUG20-60K           
KXBTCD        461   57             91             KXBTCD-26AUG0117-T63249.99                    KXBTCD-26SEP0617-T81249.99             
KXMLBHR       2059  306            420            KXMLBHR-26AUG021920BOSLAD-BOSAMONASTERIO32-1  KXMLBHR-26SEP062210WSHLAD-WSHJYOUNG30-1
KXNFLSPREAD   382   44             263            KXNFLSPREAD-26AUG13ARILV-ARI10                KXNFLSPREAD-26AUG29DETIND-IND11        
KXNFLTOTAL    301   43             44             KXNFLTOTAL-26AUG13ARILV-46                    KXNFLTOTAL-26AUG29DETIND-58            
KXRAIN        222   27             22             KXRAIN-26AUG08-ATL                            KXRAIN-26SEP06-TTN                     
KXTRUMPSAY    107   9              36             KXTRUMPSAY-26AUG03-AMER                       KXTRUMPSAY-26JUL27-URAN                
KXWTI         152   18             41             KXWTI-26AUG1014-T72.49                        KXWTI-26SEP0414-T93.99                 

(8 rows)
