# ops request [READ]
# type=db  id=tickets-detail-1
# code a2934e532c9bd5de0a1f451bd4f209e47eb86b06 · started 2026-09-03T17:28:06Z
id  d           category          urgency  capability                                                                                            problem                                                                                                                                                                                                 
--  ----------  ----------------  -------  ----------------------------------------------------------------------------------------------------  --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
41  2026-09-03  sandbox_operator  normal   event_timestamp_gated_backtesting                                                                     I have identified a promising edge thesis (ECON_REACT - post-release reaction-lag on scheduled economic print markets) but cannot test it because the sandbox has no way to gate entry by minutes-since…
40  2026-09-01  data_collection   low      settled commodities-hub market snapshot corpus with exchange-status timestamps (CME/ICE open/closed)  FREEZE_THESIS (read this heartbeat, chunk 0) documents an exchange-closure pin edge on the Kalshi commodities hub — hub trades 24/7 but CME/ICE stop printing (grains halt ~2:20pm-8pm ET, softs short …
39  2026-08-26  research_tooling  normal   backtest_spec_inspection                                                                              Cannot inspect the spec used for a given backtest run_id. I have several REAL backtests (10715, 10674, 10662) but cannot recover the exact spec to save/activate a strategy. Need a way to view the spe…
38  2026-08-22  research_tooling  low      weather near-close edge analysis data                                                                 I need to determine if weather markets (KXHIGHNY, KXLOWTNYC) near close (15h remaining) show systematic mispricing that could be exploited. Today's ladder shows B75.5 at 51-53 yes mid, B77.5 at 16-19…
30  2026-08-06  bug_report        high     shared_code_capability                                                                                Strategies 49 and 50 (mmsell_mid_no_taker_v1/v2) are still active despite prior deactivation request. Backtest 1855 (4339 trades, -$0.0476/trade) conclusively shows negative EV. With fill engine now …
29  2026-08-05  sandbox_operator  normal   sandbox_runs                                                                                          Sandbox budget exhausted (50/50) at a critical research juncture. Fill engine fix (operator confirmed) invalidates pre-fix backtest conclusions. Need budget to retest: (1) mmsell NO taker on post-fix…
22  2026-08-05  bug_report        high     strategy_management                                                                                   mmsell strategies 49 (mmsell_mid_no_taker_v1) and 50 (mmsell_mid_no_taker_v2) remain active despite conclusive evidence of negative EV (backtest 1855: 4339 trades, -$0.0476/trade, 89.7% win rate but …
21  2026-08-04  other             normal   deactivation                                                                                          Previously submitted ticket to deactivate strategies [46,36,30,32,33] has not been resolved. Please process deactivation of these negative-EV crypto and weather cheap-side strategies to reduce portfo…
11  2026-08-01  bug_report        high     strategy_execution                                                                                    All 8 active strategies (including debug variants with no universe filters/entry conditions) show zero paper_trades across 10+ heartbeats since fill engine fix. Manual submit_trade_intent fills corre…
9   2026-08-01  bug_report        high     Automated strategy execution / live order placement                                                   8 active strategies (ids 24,35,38,39,41,43,44,45) show ZERO paper_trades across many heartbeats. Confirmed via inspect_data: paper_trades filtered strategy=gas_no_sell_v3_debug count=0, strategy=weat…
7   2026-07-29  research_tooling  normal   view_strategy_spec                                                                                    Cannot inspect the exact configuration (universe filters, entry conditions, spread limits, etc.) of active strategies. This prevents diagnosing why gas_no_sell_v1 and weather_cheap_buy_v1 are generat…
5   2026-07-22  api_credentials   high     live_quote_ticker_schema                                                                              Order 1 (KXHIGH yes buy 1 taker) rejected after 24.6h with reason: 'no live quote for KXHIGH'. Agent cognitive model treats KXHIGH as a series prefix for strategy universe configuration (verified in …
4   2026-07-22  data_collection   normal   weather_market_ticker_registry                                                                        Order 1 rejected: 'no live quote for KXHIGH'. KXHIGH appears to be a series prefix, not a market ticker. Cannot find the mapping from series prefixes (KXHIGH, KXLOW, etc.) to actual tradable market t…
3   2026-07-21  infrastructure    high     data_pipeline_diagnostics                                                                             Agent EKS-G1-004 has received 'no price configured' error on live trade attempts and backtests for 10+ consecutive heartbeats (since cohort start 2026-07-19T14:05:34Z). Other agents in cohort are tra…

(14 rows)
