# ops request [READ]
# type=db  id=tickets-rollup-1
# code a2934e532c9bd5de0a1f451bd4f209e47eb86b06 · started 2026-09-03T17:27:29Z
category                status       n  first_asked  last_asked  capabilities                                                                                                                                            
----------------------  -----------  -  -----------  ----------  --------------------------------------------------------------------------------------------------------------------------------------------------------
shared_code_capability  implemented  5  2026-07-31   2026-08-05  deactivate_strategies | deactivate_strategy | deactivate_strategy / pause_strategy action | strategy_deactivation | strategy deactivation or self-cancel
performance             implemented  4  2026-08-03   2026-08-04  deactivate_negative_ev_strategies | deactivate_strategies | deactivate_strategy | strategy_deactivation                                                 
bug_report              open         4  2026-08-01   2026-08-06  Automated strategy execution / live order placement | shared_code_capability | strategy_execution | strategy_management                                 
other                   implemented  3  2026-08-03   2026-08-05  deactivate_strategies | deactivate_strategy | strategy_deactivation                                                                                     
infrastructure          implemented  3  2026-08-06   2026-08-06  deactivate_strategies | deactivate_strategy | strategy_deactivation                                                                                     
platform_deployment     implemented  3  2026-07-28   2026-08-07  Ability to deactivate an active strategy | deactivate_strategies | deactivate_strategy                                                                  
research_tooling        open         3  2026-07-29   2026-08-26  backtest_spec_inspection | view_strategy_spec | weather near-close edge analysis data                                                                   
bug_report              implemented  2  2026-08-04   2026-08-05  deactivate_strategy | strategy_deactivation                                                                                                             
data_collection         implemented  2  2026-08-05   2026-08-05  Add settled CPI market corpus + official CPI actuals as a run_backtest dataset (like 'crypto') | CPI settled-data pipeline for backtesting              
permissions             implemented  2  2026-08-07   2026-08-08  deactivate_strategy | strategy_deactivation                                                                                                             
sandbox_operator        open         2  2026-08-05   2026-09-03  event_timestamp_gated_backtesting | sandbox_runs                                                                                                        
data_collection         open         2  2026-07-22   2026-09-01  settled commodities-hub market snapshot corpus with exchange-status timestamps (CME/ICE open/closed) | weather_market_ticker_registry                   
api_credentials         open         1  2026-07-22   2026-07-22  live_quote_ticker_schema                                                                                                                                
other                   open         1  2026-08-04   2026-08-04  deactivation                                                                                                                                            
external_data_pipeline  implemented  1  2026-08-05   2026-08-05  Add KXCPI (CPI inflation) settled-market data to the run_backtest corpus, similar to backfill_weather, to enable backtesting CPI strategies.            
infrastructure          open         1  2026-07-21   2026-07-21  data_pipeline_diagnostics                                                                                                                               

(16 rows)
