# ops request [READ]
# type=db  id=tickets-verify-1
# code a2934e532c9bd5de0a1f451bd4f209e47eb86b06 · started 2026-09-03T17:30:12Z
k                                a              b         c                                   
-------------------------------  -------------  --------  ------------------------------------
agent_status                     EKS-G1-004     retired   2026-08-23 00:14:21.128977+00       
recent_paper_trades_by_strategy  Tmmsell6       333       2026-09-03 16:58:46.106454+00       
recent_paper_trades_by_strategy  mmsell6        809       2026-09-03 17:15:36.515777+00       
recent_paper_trades_by_strategy  mmsell         954       2026-09-03 17:15:12.8247+00         
recent_paper_trades_by_strategy  Dmmsell10_pt4  299       2026-09-03 17:15:36.661396+00       
recent_paper_trades_by_strategy  mmsell9        94        2026-09-02 00:56:31.979599+00       
recent_paper_trades_by_strategy  Tmmsell1       69        2026-09-03 16:22:42.994727+00       
recent_paper_trades_by_strategy  Tmmsell2       6         2026-09-03 13:27:32.71682+00        
recent_paper_trades_by_strategy  mmsell5        444       2026-09-03 17:16:00.82777+00        
recent_paper_trades_by_strategy  Lmmsell8       15        2026-09-03 15:01:50.487653+00       
recent_paper_trades_by_strategy  mmsellA4       449       2026-09-03 17:15:36.575889+00       
recent_paper_trades_by_strategy  Dmmsell10      299       2026-09-03 17:15:36.63744+00        
recent_paper_trades_by_strategy  mmsell8        15        2026-09-03 15:01:50.38867+00        
recent_paper_trades_by_strategy  theta4         37        2026-09-03 12:36:23.1483+00         
recent_paper_trades_by_strategy  mmsellA5       355       2026-09-03 17:15:18.880259+00       
recent_paper_trades_by_strategy  Tmmsell5       85        2026-09-03 16:22:43.008266+00       
recent_paper_trades_by_strategy  mmsell7        70        2026-09-03 17:15:38.558321+00       
recent_paper_trades_by_strategy  Lmmsell10      587       2026-09-03 17:15:36.601907+00       
recent_paper_trades_by_strategy  Cmmsell10      593       2026-09-03 17:15:36.620801+00       
recent_paper_trades_by_strategy  mmsell10       587       2026-09-03 17:15:36.542051+00       
strategy_status                  32             inactive  78c73b86-6b2c-4e9b-a3e7-225a5cc26db4
strategy_status                  33             inactive  78c73b86-6b2c-4e9b-a3e7-225a5cc26db4
strategy_status                  35             active    0b112ad9-aa57-401d-ae69-e07574bf5cb3
strategy_status                  36             inactive  78c73b86-6b2c-4e9b-a3e7-225a5cc26db4
strategy_status                  38             active    0b112ad9-aa57-401d-ae69-e07574bf5cb3
strategy_status                  39             active    0b112ad9-aa57-401d-ae69-e07574bf5cb3
strategy_status                  41             active    0b112ad9-aa57-401d-ae69-e07574bf5cb3
strategy_status                  43             active    0b112ad9-aa57-401d-ae69-e07574bf5cb3
strategy_status                  44             active    0b112ad9-aa57-401d-ae69-e07574bf5cb3
strategy_status                  45             active    0b112ad9-aa57-401d-ae69-e07574bf5cb3
strategy_status                  46             inactive  78c73b86-6b2c-4e9b-a3e7-225a5cc26db4
strategy_status                  49             inactive  0bb6dd17-f16a-49b3-8d4f-933631fb12bd
strategy_status                  50             inactive  0bb6dd17-f16a-49b3-8d4f-933631fb12bd
strategy_status                  30             inactive  78c73b86-6b2c-4e9b-a3e7-225a5cc26db4
strategy_status                  24             active    0b112ad9-aa57-401d-ae69-e07574bf5cb3

(35 rows)
