# ops request [READ]
# type=db  id=tickets-verify-2
# code a2934e532c9bd5de0a1f451bd4f209e47eb86b06 · started 2026-09-03T17:31:06Z
k                      a           b         c 
---------------------  ----------  --------  --
orders_for_strategies  24          filled    68
orders_for_strategies  24          canceled  7 
orders_for_strategies  38          filled    42
orders_for_strategies  39          filled    2 
orders_for_strategies  41          filled    2 
orders_for_strategies  45          filled    10
owner_agent_status     BLA-G2-042  retired   4 
owner_agent_status     EKS-G1-004  retired   2 
owner_agent_status     HAV-G1-006  retired   2 

(9 rows)
