# ops request [READ]
# type=db  id=var-health-2
# code 84497b8ced82ecaf2420b64dba42157f45f15129 · started 2026-09-12T02:40:54Z
kind        ts                                detail                                                                                                                                                                                                  
----------  --------------------------------  --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
event       2026-09-12 02:40:23.612507+00:00  INFO mmsell_quote_parity: mmsell inline-quote parity                                                                                                                                                    
event       2026-09-12 02:40:23.609031+00:00  INFO mmsell_scan: mmsell scan funnel                                                                                                                                                                    
event       2026-09-12 02:39:09.745922+00:00  WARNING twin: twin Fmmsell10_pt4 params drifted from epoch snapshot                                                                                                                                     
trades/min  2026-09-12 02:39:00+00:00         18 trades, 8 books                                                                                                                                                                                      
event       2026-09-12 02:36:07.895396+00:00  INFO kalshi_limits: kalshi account api limits                                                                                                                                                           
event       2026-09-12 02:36:04.463517+00:00  INFO kalshi_limits: kalshi account api limits                                                                                                                                                           
event       2026-09-12 02:30:22.697865+00:00  INFO mmsell_quote_parity: mmsell inline-quote parity                                                                                                                                                    
event       2026-09-12 02:30:22.696094+00:00  INFO mmsell_scan: mmsell scan funnel                                                                                                                                                                    
trades/min  2026-09-12 02:30:00+00:00         12 trades, 6 books                                                                                                                                                                                      
event       2026-09-12 02:29:15.266547+00:00  WARNING twin: twin Fmmsell10_pt4 params drifted from epoch snapshot                                                                                                                                     
event       2026-09-12 02:29:15.195993+00:00  error experiment_os_enforcement: BLOCKED (precheck): tag 'Lmmsell10' is not registered to any active Experiment OS deployment arm; register the experiment/deployment (or classify the tag) before it m…
event       2026-09-12 02:29:15.192220+00:00  error experiment_os_enforcement: BLOCKED (precheck): tag 'Lmmsell8' is not registered to any active Experiment OS deployment arm; register the experiment/deployment (or classify the tag) before it ma…
event       2026-09-12 02:29:15.188996+00:00  error experiment_os_enforcement: BLOCKED (precheck): tag 'mmsellA5' is not registered to any active Experiment OS deployment arm; register the experiment/deployment (or classify the tag) before it ma…
event       2026-09-12 02:29:15.186081+00:00  error experiment_os_enforcement: BLOCKED (precheck): tag 'mmsellA4' is not registered to any active Experiment OS deployment arm; register the experiment/deployment (or classify the tag) before it ma…
trades/min  2026-09-12 02:29:00+00:00         52 trades, 9 books                                                                                                                                                                                      
event       2026-09-12 02:26:58.975167+00:00  INFO kalshi_limits: kalshi account api limits                                                                                                                                                           
event       2026-09-12 02:26:49.198710+00:00  INFO kalshi_limits: kalshi account api limits                                                                                                                                                           

(17 rows)
