# latest deployment 46755795-0a04-4b60-aaed-c00d771dd682 (status=SUCCESS, created=2026-09-05T12:36:16.582Z)
# ops request [READ]
# type=logs  service=main  id=xg-poll-1
# code 7becc96c3688fb963ba650c731c46c6294e6351f · started 2026-09-05T12:41:23Z
# target service: main
2026-09-05T12:36:52.380275005Z INFO  Starting Container
2026-09-05T12:36:53.305541695Z ERROR  INFO  [alembic.runtime.migration] Context impl PostgresqlImpl.
2026-09-05T12:36:53.305546906Z ERROR  INFO  [alembic.runtime.migration] Will assume transactional DDL.
2026-09-05T12:36:53.626997638Z INFO  starting kalshi bot
2026-09-05T12:36:54.349353779Z INFO  experiment OS experiment command
2026-09-05T12:36:54.349357971Z INFO  experiment OS enforcement
2026-09-05T12:36:54.399577792Z INFO  api limits probe: {"grants": [{"exchange_instance": "event_contract", "level": "advanced", "source": "manual"}], "read": {"bucket_capacity": 900, "refill_rate": 300}, "usage_tier": "advanced", "write": {"bucket_capacity": 900, "refill_rate": 300}}
2026-09-05T12:36:54.431085073Z INFO  kalshi api tier upgrade skipped
2026-09-05T12:36:54.507760419Z INFO  live recover: reconciling in-flight orders
2026-09-05T12:36:55.327760727Z INFO  abandoned foreign paper positions
2026-09-05T12:37:25.186553570Z INFO  gate evaluation cycle
2026-09-05T12:37:25.186556733Z INFO  exchange status
2026-09-05T12:38:45.595211758Z INFO  polymarket index
2026-09-05T12:38:45.595215252Z INFO  weather market
2026-09-05T12:38:45.595218612Z INFO  weather market
2026-09-05T12:38:45.595221853Z INFO  weather market
2026-09-05T12:38:45.595633785Z INFO  weather market
2026-09-05T12:38:45.595637812Z INFO  weather market
2026-09-05T12:38:45.595641148Z INFO  weather market
2026-09-05T12:38:45.596101416Z INFO  weather market
2026-09-05T12:38:50.181576254Z INFO  weather cycle
2026-09-05T12:38:50.181578825Z INFO  live cycle
2026-09-05T12:39:20.189819466Z INFO  weather validation
2026-09-05T12:39:20.189827709Z WARN  mmsell: book skipped — tag has no active Experiment OS deployment arm
2026-09-05T12:40:10.547112238Z INFO  mmsell book
